,Facility Identifier,GlobalID,Longitude,Latitude
1,DP01-12022-1,{2930B26A-DE4C-4E36-8E9D-20B5B8F77DA9},-117.71479,33.464085
2,DP01-12022-2,{F1A20556-9AFE-4BFC-A5BD-765B4F16802D},-117.716091,33.466503
3,DP04-12015-1,{B9E368D1-0601-4D99-B7EE-076F034D1D23},-117.7474477,33.50464905
4,DP06-12106-1,{FA96D381-A5FA-4EF8-9755-46E6C80C3DBB},-117.688411,33.46389565
5,I00-11437-1,{0D61E2AD-DA3C-4EE6-AD1B-32E44854CAA2},-117.7702547,33.53349571
6,I00-11453-1,{171AC70D-B722-42FD-9ADA-813B331846A7},-117.7805154,33.53709679
7,I00-11468-1,{60A6CD6E-DA16-422B-8EDA-6D2EFD365167},-117.7690133,33.53565787
8,I00-11518-1,{77142EB8-ED5A-457E-A15B-0DA4FE92CCF2},-117.7733308,33.52971644
9,I00-11518-2,{43927D34-5C8D-480F-9527-A565DA0C7C0C},-117.772636,33.528629
10,I01-11010-1,{25FC0B7A-A34B-48D1-86FD-00FA62D21B2B},-117.7834119,33.54416454
11,I01-11015-2,{7466B2A4-CC2D-4862-BC7C-0ABA52F841B0},-117.7815571,33.54790609
12,I01-11015-3,{DB9C2669-FA77-4FA1-A76C-F2D11E0410E4},-117.7815464,33.54793033
13,I01-11023-1,{EC705F4A-8057-41AB-99F6-CDD22A7AEEDC},-117.7803262,33.54963669
14,I01-11023-2,{038D9EF3-E345-4A2B-A2E8-4C86B0814F1F},-117.7795866,33.55023025
15,I01-11023-3,{B1E7A48B-1DC2-43B1-BE7B-17B6936EF467},-117.7789163,33.55073178
16,I01-11023-4,{4299039A-0613-47FF-B808-7CF8CD065E00},-117.7782698,33.55119472
17,I01-11023-5,{37C6F748-E62C-4DCD-89A7-0CB6EFB76B47},-117.7782669,33.55124303
18,I01-11059-1,{C71E52F8-AC08-4469-BA89-8E02697C744D},-117.7755089,33.55357149
19,I01-11059-2,{8A75D24A-9302-4837-9C8D-5CEE11DCAB92},-117.7754408,33.5535769
20,I01-11059-3,{DB859266-5BF1-4E9B-91AB-9674CD92B469},-117.7753481,33.55369586
21,I01-11065-1,{343D946F-618A-4C8F-BECA-AAD6427C9CAA},-117.7731408,33.55771802
22,I01-11077-1,{ED3BCD26-6F4E-4AE2-9C8B-80EDA743C061},-117.7679944,33.56321823
23,I01-11077-2,{B9DC0E18-53B8-47A3-A9E6-B022A6119F8C},-117.7678685,33.56314232
24,I01-11093-1,{A6CD0460-3E4D-434A-8EED-4ABA7D87A2EB},-117.7725813,33.5586741
25,I01-11093-2,{50B8F0F5-D3AB-43AA-9466-0350D018EEA8},-117.7697325,33.56267164
26,I01-11195-2,{86E3548C-66A9-4F7B-BC80-1C6D6520BA51},-117.7515792,33.58990998
27,I01-11216-1 (I02P13),{407CFB17-3B6F-4280-9700-B0FD229A0C5E},-117.7472414,33.59874987
28,I01-11216-2 (I02P12),{3E6152B4-AA12-4483-A315-F2A09982301C},-117.7472017,33.59875002
29,I01-11216-3,{DB80E054-4D2C-4D53-8065-26F13D35FE95},-117.7470641,33.59871601
30,I01-11216-4 (I02P14),{BD8B9607-5DAE-4D8D-9B8E-9B2DC1C2A8C1},-117.7462112,33.59823241
31,I01-11217-1,{6731B5BE-BAEC-490D-90D1-2CBFABE191C3},-117.7462887,33.59737837
32,I01-11343-1,{2889E41D-D4E7-47BA-843A-5A6D17AF80DF},-117.7552383,33.61120531
33,I01-11343-2 (I02P18),{9A50D575-FFD5-41A9-B523-61D9221779CD},-117.7539721,33.61211013
34,I01-11487-1,{5950041F-4A9F-49ED-994B-C50CD46C105C},-117.7852577,33.54221573
35,I01-11487-2,{04035718-9418-4D9D-BE25-7FB1C35BC0A0},-117.7835203,33.54099301
36,I01-11502-1,{C081E89B-5CDA-439B-97FB-CCA6D19E46F4},-117.7484889,33.59564552
37,I01-11503-3,{8617AFA3-52A5-463C-8916-03BC38AAFBC4},-117.7493187,33.5934822
38,I01-11503-5,{CEFC14D7-9ED9-43A9-BA53-748978BC75CB},-117.749522,33.593542
39,J01-10004-1 (J01P01),{2B86E2C7-7931-456A-BDF6-8E5B829C36D2},-117.6769005,33.63341124
40,J01-10004-2,{FC0A0575-4F9F-4F48-92CC-AA2CA9B5047D},-117.6746996,33.63406841
41,J01-10006-1,{F79CDE56-859F-4A33-BFA7-8A7FFBF9055A},-117.6836706,33.62836754
42,J01-10012-3,{0E023D41-5A3C-41F1-98C3-7CA73337F6D9},-117.6269624,33.66921793
43,J01-10017-1 (J01TBN4),{3A09A49C-9DAA-4A66-898F-7D6115463F96},-117.7170737,33.57090835
44,J01-10019-1 (J01P33),{65AB7468-482A-4869-8212-F73F5CC03224},-117.7184508,33.56456651
45,J01-10041-2 (J03P13),{30268716-5276-44DF-9485-87949570FB12},-117.7088295,33.55263878
46,J01-9005-1 (J03P05),{BEADF14B-536C-491F-AF1C-E6C6959F66BD},-117.7041702,33.53991146
47,J01-9005-3,{8D0A255A-DAB2-4BAC-A4E1-414D7DD8EA41},-117.7030442,33.5461744
48,J01-9007-1 (J02P05),{6367FF6D-1FC8-4E27-B1F3-A8005D44345E},-117.7378266,33.55864514
49,J01-9008-1 (J01P30),{87FF3E7F-0CD3-43AB-8A99-DD46A197D6A4},-117.7133093,33.57677172
50,J01-9031-1,{845D0596-F79C-47AB-8A96-2BF5F46A5F2D},-117.6388505,33.67284809
51,J01-9033-1,{82959DB9-0482-452E-8715-E1BA44BC8E44},-117.6262793,33.67101354
52,J01-9040-1,{7E5CB88D-6665-452A-804A-655CBEAB830F},-117.623537,33.678031
53,J01-9046-1,{7B37BD5E-90A3-4DC7-8721-402EFF48BB71},-117.6597977,33.65453345
54,J01-9046-2,{2E617AF1-4DE3-4D23-81BF-39FAD4E9D040},-117.6596867,33.65446074
55,J01-9046-3,{C52723D5-88DF-4B27-A94D-AEE8BFE85FDF},-117.659418,33.65614256
56,J01-9066-1 (J01P04),{44FB9709-D45F-44FA-A0BF-A0B51C5584F8},-117.6928876,33.6093405
57,J01-9066-2 (J01P03),{F7A1B2B3-02A7-4B84-A84B-A6BA19C83F0B},-117.6927683,33.61059435
58,J01-9082-2,{D7F5B54C-C817-44EE-AD28-FD7E7AE69350},-117.7457601,33.5815891
59,J01-9082-3,{D57375B8-DA33-4EBF-B4C6-11FF1DA7BC5E},-117.7457369,33.58158523
60,J01-9082-4,{AFB6CBDA-AC92-4821-99CD-EDC47B411745},-117.7457266,33.58157074
61,J01-9131-1 (J01P28),{3F8450D4-0881-4A9D-829A-4B4707912F53},-117.715865,33.57471343
62,J01-9144-1 (J01P23),{61303168-3951-41A3-9F99-5A1FBF0706F7},-117.7189509,33.554894
63,J01-9144-4 (J01P26),{55C07C97-F5A8-4AD9-BDD6-F282EF1F22F5},-117.7186966,33.5591058
64,J01-9224-1 (J01P24),{0066DC99-7D9F-42BE-ABDB-C06A68E52A0F},-117.7177983,33.55648201
65,J01-9224-2 (J01P25),{7BFD7882-593A-4F10-AAF7-CC4B57726763},-117.7176799,33.55761613
66,J01-9259-3,{E9D08FC2-7F70-4A86-8EF6-2A8BE2A5E6F4},-117.689955,33.62434247
67,J01-9264-1 (J01P06),{86AB9BCD-9766-418C-889A-A078524BE271},-117.6540685,33.66346514
68,J01-9273-1,{1B614B52-1204-4A36-9937-3895C916CE39},-117.7073654,33.59989171
69,J01-9275-1,{D1EBB0B7-3D03-4EE5-8D43-EF34E157DB50},-117.6613528,33.64907787
70,J01-9275-2,{8DD9934B-1D0A-4A08-9886-1E1C2EF93E40},-117.6606465,33.65086633
71,J01-9313-1,{6C557F4D-24D0-4AC7-9549-68AEDF86E4E7},-117.7433926,33.56256131
72,J01-9349-1,{0C4B2C1F-221A-4822-9ED8-4F1AF591803F},-117.6658163,33.64412251
73,J01-9364-3 (J01P21),{45DC9F7E-3DD3-44F6-A4A9-350A8C32653C},-117.7212902,33.54985427
74,J01-9364-4,{51AB1EDB-AED9-40F1-83A8-6391511D250C},-117.7272411,33.54433919
75,J01-9377-1,{3B4E9F27-523C-4F6B-A986-26E060B631EF},-117.6577684,33.65809197
76,J01-9377-2 (J01TBN8),{0F35296A-ECE2-4C19-BD75-E6442A50F57C},-117.653411,33.66001815
77,J01-9782-1 (J01TBN3),{91E48869-6AD5-41B7-8A9B-640ED2238B02},-117.6769216,33.63275609
78,J01-9785-1,{91338D15-19F3-4699-83FA-4C17B2C07214},-117.693665,33.61716175
79,J01-9992-1 (J01P27),{DE6D1FF7-E755-41CE-9C57-7D26DD867CD5},-117.7166123,33.57325594
80,J03-9215-1,{58BF1710-6532-44A0-A4C2-487B6E14647C},-117.7056626,33.53115836
81,J03-9215-3,{096C0676-4771-492B-BAA6-AA39CD7F88A8},-117.7015748,33.53410231
82,J03-9216-1 (J03P01),{B312B909-A14D-4AAA-BB21-74D113055A73},-117.7082473,33.5307754
83,J03-9216-2,{BDBAD671-CCD0-47D1-B121-7ED3242CBA94},-117.7100766,33.5280069
84,J03-9216-5,{17A4B537-06CB-4914-A505-354A1A88B51B},-117.7097701,33.5281727
85,J03-9221-1 (J03P02),{B349E3D1-F18C-44B9-A54D-9A854691EE96},-117.7171712,33.54994727
86,J03-9234-5,{0C213075-F3BE-4202-976F-D3228FB0F4F4},-117.7070197,33.51976015
87,J03-9234-6,{7C898AE5-6408-40A7-9258-052F87B864B0},-117.7065275,33.5196409
88,J03-9234-8,{8BA658D6-F310-40D7-B7B1-E1E606ACD5A0},-117.715433,33.51992
89,J03-9368-1 (J03TBN1),{AAC8234A-5800-4230-971C-633C406E3E23},-117.6974991,33.5378206
90,J03-9368-2 (J03TBN2),{1C987AEE-54C0-42B5-B602-B59EEAD42C2F},-117.6953827,33.5401077
91,J04-9249-1,{43A0D628-01FD-445E-A64B-B954122259BC},-117.7098633,33.55392245
92,J05-9255-1 (J05P01),{E4A45859-C01A-4CBC-8954-294275402A42},-117.706386,33.584603
93,J05-9271-6,{9F5547EB-7FE3-461F-9EBD-E58B4219028B},-117.7044913,33.58731405
94,J05-9800-2,{B447E738-FF4A-4052-83BC-409EFD00CC89},-117.7015945,33.58919536
95,J06-10011-1 (J06P01),{7C52C879-6B87-4321-BC5A-53A3242DD1D9},-117.7157622,33.59504096
96,J06-9079-1 (J06P03),{53829E67-0A5F-46C8-B493-01AC3AA4C5CD},-117.7156422,33.59226263
97,J07-9022-1,{02D8D354-0554-49DF-972A-8BC374B3901B},-117.6747725,33.62678091
98,J07-9022-6,{ED29B567-C00D-4966-8303-25068F8D1BA9},-117.66624,33.628759
99,J07-9109-1,{3908761B-6044-44D9-8A7D-054C86F6D560},-117.6591934,33.63979501
100,J07-9109-2,{728A2E3D-7087-4CD0-B654-7272B31DFBFB},-117.6576127,33.64157324
101,J07-9109-4 (J07P02),{D0C41BF9-0216-43F4-8129-6EAC01EF1A03},-117.6557973,33.64644918
102,J07-9110-1,{FF27122D-EC98-40FC-AE70-E4A3069DC586},-117.6635397,33.63470136
103,J07-9110-2,{E0B5BFB0-FF67-482C-B2DA-0715F995C4FF},-117.6622521,33.6360887
104,J07-9110-3,{07F87B16-7752-4E0E-8F95-EF62C174A7F6},-117.6592759,33.63962029
105,K01-12032-2 (K01P11),{E67A1268-C953-4917-B816-D1F3A4A6B507},-117.7177583,33.51685546
106,K01-12036-1,{492C91F2-212B-4A73-AC7B-107B61D9565F},-117.7188933,33.5071094
107,K01-12036-10,{27FDF89D-E07B-4D2F-B470-DABB97A9B098},-117.716748,33.51221718
108,K01-12036-5,{70D2A74D-50ED-4574-A929-01CB7DE7D000},-117.7180355,33.51166906
109,K01-12058-1 (K01P08),{4C787A96-7840-4AA0-A3A0-EED192734DC5},-117.69462,33.5113
110,K01-12058-2 (K01P09),{C0A795C3-4CA5-4BFE-8231-8B5C12D45F49},-117.6946013,33.51125335
111,K01-12062-1,{DC0E267C-D89F-4834-A9CC-2BD31EFE7608},-117.6906816,33.50914725
112,K01-12126-1 (K01S01),{4B95CAAB-3599-40EF-9AEE-7EB6755113A0},-117.7198758,33.48403393
113,K01-12138-1 (K01TBN1),{7ED3F0F9-CFEC-4D38-9A33-AE41DCBA38E4},-117.6971046,33.5119634
114,K01-12155-1,{EBDB95ED-DC08-4DB5-AB03-DFC2113EF527},-117.7202203,33.49919589
115,K01-12155-5,{F833764D-81C4-470D-A336-B65195ACDDC4},-117.720053,33.50234645
116,K01-12156-1,{5534FF00-8FE3-41EF-BF46-3A596527C17F},-117.71287,33.49693715
117,K01-12156-3,{F7D4DE70-C4F6-4DB8-9F42-612475714A9C},-117.709474,33.50412766
118,K01-12156-6,{6FB4B9E1-BF9D-41E3-9F3C-703D525B54CD},-117.7149148,33.49533383
119,K01-12159-2,{65F1D30E-87BC-47F7-B9E2-465FBE713D1F},-117.7204321,33.4824512
120,K01-12159-3,{1F0E78FB-3598-45E9-815F-9C59DD96DF84},-117.7203981,33.48259382
121,K01-12177-1 (K01P07),{162A0934-2B45-4BAA-AE44-99D3683A47DD},-117.7073807,33.50860089
122,L01-125-1,{5903AEF4-DE41-446D-A41A-D3014DC8AD95},-117.5670968,33.65133621
123,L01-125-2,{DD113CF9-A134-4437-879D-CFE4C8EED772},-117.5592684,33.65543421
124,L01-125-3,{33F2DC65-D927-4563-A681-F329D3F84B4B},-117.5642106,33.65525437
125,L01-218-1,{D9AB8BDF-6FF9-4F23-895B-E154A03243AF},-117.5632954,33.63184411
126,L01-218-2,{36EB35B0-30D7-472E-B8A6-28D21FB8C159},-117.5643856,33.63335256
127,L01-218-3,{25F85F71-7FE3-41F6-8378-9EEFE4D6A956},-117.5672819,33.6382812
128,L01-218-4,{D52E55F3-6949-417B-9C1F-389593FDF685},-117.5692492,33.63861941
129,L01-223-1 (L08TBN1),{920D2923-A87E-4A8C-864D-656B0F11E23F},-117.5646255,33.62071568
130,L01-242-1 (L07P16),{05755366-E1F2-43BB-A1D6-AC836A44F681},-117.5825631,33.61466784
131,L01-261-1,{01783387-75A4-429B-918B-074CD3332D70},-117.5835926,33.6130471
132,L01-303-1,{4DB1E7DE-3FD5-4696-8101-98BEA4A83871},-117.5845432,33.58906495
133,L01-303-2,{DAFC646C-2E59-4F16-8AFD-87B9CAE3A703},-117.5850715,33.59293399
134,L01-303-3,{688139FB-EB67-42AA-848F-C55BF48E6B28},-117.5840821,33.59526175
135,L01-303-4,{DB68879F-B851-41C0-A2C5-D131F57A6ECE},-117.584659,33.596022
136,L01-303-5,{77F01F3D-4632-4CFC-AF1B-CCA5EBF929DB},-117.5843535,33.59975122
137,L01-335-1,{6D056363-053F-45F5-B22A-6CAFD80C097C},-117.6128526,33.57790461
138,L01-335-2,{65AC036E-2F1F-4616-A08A-A4E7B1D38A11},-117.6127492,33.57739792
139,L01-340-1,{F1CABFEE-57C0-45D7-805A-974B2EF723C4},-117.5954402,33.58696205
140,L01-372-1,{0562EDDC-63AD-4A1F-8BB1-E41C2E082A28},-117.585379,33.56873885
141,L01-391-1,{6ACA9BF4-266E-4C31-8EE3-75E5E450E45E},-117.5859165,33.57606988
142,L01-391-3,{D41F3C53-33B2-4B80-AB83-E479787A54C2},-117.5868252,33.57839188
143,L01-399-1,{9F273F46-123A-4CB8-88E1-327AB79BEDBA},-117.546523,33.56325497
144,L01-399-2,{02BEB49C-F068-46E2-825C-68BD9C28CB4E},-117.5467328,33.56270889
145,L01-404-1,{CDCEA1A5-E306-47B2-8945-27B1CD159C10},-117.5858466,33.56452183
146,L01-404-2,{1E7BFD35-867B-41B5-9FF2-898F561EE27E},-117.5855227,33.56345111
147,L01-414-1,{68338A6C-A350-4B2E-90E5-C3AA59C3D9A8},-117.5905481,33.56170664
148,L01-414-2,{424C51CE-5569-476A-8035-40A7D01575A0},-117.5920748,33.56488962
149,L01-414-3,{834FBB7A-F243-4A65-80C6-AE688690CC0C},-117.5924377,33.56680442
150,L01-458-1,{12B3B591-46D7-4C09-AEF9-0205FDAAC85B},-117.615117,33.5249855
151,L01-471-1,{1506D8A1-1F63-4CAD-971D-6107A4006B15},-117.5973064,33.52557232
152,L01-494-1,{8ACA8CDD-8242-491B-B115-35F97FCC3354},-117.6076268,33.52846755
153,L01-514-1,{7A6C6799-AB04-4589-9958-5C84F3951CFC},-117.6229158,33.52388419
154,L01-517-1,{CD0E12FD-1932-4531-BF8C-AE40939F31B4},-117.6256819,33.51866901
155,L01-517-2,{E56548DF-493B-422E-A5B8-8731DDBDFE40},-117.6257208,33.51860298
156,L01-517-3,{6F4B7E90-A083-4289-A5D6-7E68F3E03AB8},-117.6202815,33.52266244
157,L01-517-6,{E5E98A69-01CF-4012-9B40-92C07976275C},-117.618989,33.52411358
158,L01-517-7,{91F7E163-76E3-4E60-AF6E-ABEF81E97F26},-117.6195437,33.52425393
159,L01-517-8,{01A02819-9301-488A-B748-0623EE010001},-117.6245,33.518737
160,L01-556-1,{4FE0C734-3649-4717-871F-7A7EB924A050},-117.6451428,33.50553072
161,L01-601-1,{6E297702-950B-4ECB-93F7-6D8CE2CE5D00},-117.677888,33.48172393
162,L01-602-2,{99C5D60F-3F09-4BFF-AE19-4319471F81EF},-117.6536768,33.49828674
163,L01-613-1,{66BF25E7-7C2E-440C-B88E-6770670FC382},-117.6793327,33.46916647
164,L01-618-1,{6BB44A0A-D350-479C-9FC0-20CB027EB52D},-117.6521706,33.5000465
165,L01-618-2,{DBB6D67B-D85C-4FC2-AE21-A7AD70D991C8},-117.6503658,33.50048772
166,L01-618-3,{A981599B-D002-446E-B808-453E58ACEA12},-117.6500212,33.50155524
167,L01-618-4,{6CAF875E-8955-448F-B3BC-D7F75183DDDE},-117.6485177,33.5025008
168,L01-618-5 (L01S09),{DB6B9824-56ED-459B-A97E-F9966647E89B},-117.64812,33.501988
169,L01-724-1 (L01S01),{8A859AA8-432F-48A4-B9EF-89E317C329D5},-117.6770626,33.48318609
170,L01-724-2,{9AFBCAFD-4410-42DD-A83A-9F170C6B1FBA},-117.6772035,33.48347973
171,L01-724-4 (L01P03),{1A565B60-44E0-4E2C-84FE-2362549F11C4},-117.675358,33.4847041
172,L01-726-2,{2E54A407-3CB1-4115-BE98-54634E27A6A6},-117.6795156,33.47487148
173,L01-726-3,{B22F4F14-A3E0-4A9A-9F0F-891910B4EB75},-117.6788187,33.47522955
174,L01-726-5,{2B22BC20-4B7A-42C3-8427-8487ACC1F123},-117.6793196,33.47582393
175,L01-726-6,{D64CBB08-F94D-40E2-BF24-D05C3319C2F7},-117.6792461,33.47619715
176,L01-726-7,{18A42986-EA31-4E07-A4F6-D18E1CBDE933},-117.678454,33.47686584
177,L01-726-8,{88ED161A-736E-448B-AF46-40F0E8C2F54E},-117.6786837,33.47849535
178,L01-726-9,{8940546C-B67E-42D6-9426-7F1E9452BFE1},-117.6781053,33.47841897
179,L01-727-1 (L01S04),{798A1AA2-7443-4216-9DB2-0FB1B57E4222},-117.6810116,33.47115503
180,L01-727-2,{B9983359-9D26-40FE-905C-4936B6ED0548},-117.6797341,33.47419329
