FacilityID,QInscfsAdj,QInsCFAdj,Q_DailyavgCF,AVGDISCHARGE,JURISDICTI,SAMPLEDRY,PERSISTENTFLOW,JURISDICTI3,PERCENTAGE,area_acres,AREA,DischargePCF2,DischargePCF3,MonitoringYear,rain_gage,dry_days,AnnualCFb,AnnualCF
I01-11343-1,NA,NA,-0.99,0,LAGUNA WOODS,1,Yes,LAGUNA WOODS,100,33.3408069,33.34083637,NA,0,MY2021-22,ELTORO,309,0,0
I01-11487-1,NA,NA,-0.99,0,LAGUNA BEACH,NA,Unknown,ALISO VIEJO,9.42798961,5606.22157779,528.5544551,NA,0,MY2021-22,LAGUNABEACH,318,0,0
I01-11487-1,NA,NA,-0.99,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,28.71852666,5606.22157779,1610.025662,NA,0,MY2021-22,LAGUNABEACH,318,0,0
I01-11487-1,NA,NA,-0.99,0,LAGUNA BEACH,NA,Unknown,LAGUNA WOODS,4.108913651,5606.22157779,230.3550073,NA,0,MY2021-22,LAGUNABEACH,318,0,0
I01-11487-1,NA,NA,-0.99,0,LAGUNA BEACH,NA,Unknown,ORANGE CO,56.5439454,5606.22157779,3169.981671,NA,0,MY2021-22,LAGUNABEACH,318,0,0
J01-10006-1,NA,NA,-0.99,0,LAKE FOREST,NA,Yes,LAKE FOREST,100,23.20308578,23.2031063,NA,0,MY2021-22,ELTORO,309,0,0
J05-9255-1 (J05P01),NA,NA,-0.99,0,LAGUNA HILLS,NA,Yes,LAGUNA HILLS,100,70.04513345,70.04519538,NA,0,MY2021-22,SULPHURCREEK,323,0,0
J05-9271-6,NA,NA,0,0,LAGUNA HILLS,NA,Unknown,LAGUNA HILLS,100,NA,NA,0,0,MY2021-22,SULPHURCREEK,323,0,0
L01-335-2,NA,NA,0,0,ORANGE CO,NA,Unknown,ORANGE CO,100,NA,NA,0,0,MY2021-22,TRABUCO,304,0,0
L01-391-1,NA,NA,-0.99,0,ORANGE CO,NA,Yes,ORANGE CO,100,29.95853952,29.958566,NA,0,MY2021-22,TRABUCO,304,0,0
L01-726-2,NA,NA,0,0,DANA POINT,NA,Unknown,DANA POINT,100,2.51489735,2.514899575,0,0,MY2021-22,DANAPOINT,319,0,0
L02-344-1,NA,NA,0,0,ORANGE CO,NA,Unknown,ORANGE CO,99.37899245,178.3182714,177.2110581,0,0,MY2021-22,ELTORO,309,0,0
L02-344-1,NA,NA,0,0,ORANGE CO,NA,Unknown,RANCHO SANTA MARGARITA,0.621007707,178.3182714,1.107371188,0,0,MY2021-22,ELTORO,309,0,0
L02-401-1,NA,NA,-0.99,0,ORANGE CO,NA,Yes,MISSION VIEJO,97.18078684,199.48492042,193.8611867,NA,0,MY2021-22,SULPHURCREEK,323,0,0
L02-401-1,NA,NA,-0.99,0,ORANGE CO,NA,Yes,ORANGE CO,2.819212227,199.48492042,5.623908238,NA,0,MY2021-22,SULPHURCREEK,323,0,0
L02-571-5 (L02TBN2),NA,NA,-0.99,0,SAN JUAN CAPISTRANO,NA,Unknown,LAGUNA NIGUEL,25.81138094,220.78861654,56.98864128,NA,0,MY2021-22,PALISADES,313,0,0
L02-571-5 (L02TBN2),NA,NA,-0.99,0,SAN JUAN CAPISTRANO,NA,Unknown,SAN JUAN CAPISTRANO,74.1886223,220.78861654,163.8001776,NA,0,MY2021-22,PALISADES,313,0,0
L01-748-2,NA,NA,-0.99,0,SAN JUAN CAPISTRANO,NA,Yes,SAN JUAN CAPISTRANO,100,NA,NA,NA,0,MY2021-22,PALISADES,313,0,0
DP01-12022-1,0.03821358,3301.6533119999995,465.0048,0.055382,DANA POINT,NA,Yes,DANA POINT,100,NA,NA,465.00479999999993,465.00479999999993,MY2021-22,DANAPOINT,319,465.00479999999993,148336.53119999997
DP04-12015-1,0.006944849999999999,600.0350399999999,869.616,0.010065,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,65.93698008,178.90214373,117.9627752,573.3985286924927,573.3985286924927,MY2021-22,LAGUNABEACH,318,573.3985286924927,182340.7321242127
DP04-12015-1,0.006944849999999999,600.0350399999999,869.616,0.010065,LAGUNA BEACH,NA,Unknown,LAGUNA NIGUEL,33.93511159,178.90214373,60.71069578,295.1051600044944,295.1051600044944,MY2021-22,LAGUNABEACH,318,295.1051600044944,93843.44088142921
DP04-12015-1,0.006944849999999999,600.0350399999999,869.616,0.010065,LAGUNA BEACH,NA,Unknown,ORANGE CO,0.127907549,178.90214373,0.22882955,1.1123045113118402,1.1123045113118402,MY2021-22,LAGUNABEACH,318,1.1123045113118402,353.71283459716517
I00-11518-2,0.0033119999999999994,286.1568,414.7199999999999,0.0048,LAGUNA BEACH,NA,Yes,LAGUNA BEACH,100,NA,NA,414.7199999999999,414.7199999999999,MY2021-22,LAGUNABEACH,318,414.7199999999999,131880.95999999996
I01-11023-1,0.0014869499999999997,128.47247999999996,186.192,0.002155,LAGUNA BEACH,1,Yes,LAGUNA BEACH,33.40107474,4.24010907,1.41624325,62.1901290799008,62.1901290799008,MY2021-22,LAGUNABEACH,318,62.1901290799008,19776.461047408455
I01-11023-1,0.0014869499999999997,128.47247999999996,186.192,0.002155,LAGUNA BEACH,1,Yes,ORANGE CO,66.59891828,4.24010907,2.823869268,124.00185792389762,124.00185792389762,MY2021-22,LAGUNABEACH,318,124.00185792389762,39432.59081979944
J01-9005-3,0.20960405999999998,18109.790783999997,72057.6,0.303774,LAGUNA NIGUEL,NA,Yes,LAGUNA HILLS,1.384801424,201.89063791,2.7957869,997.854670900224,997.854670900224,MY2021-22,SULPHURCREEK,323,997.854670900224,322307.05870077235
J01-9005-3,0.20960405999999998,18109.790783999997,72057.6,0.303774,LAGUNA NIGUEL,NA,Yes,LAGUNA NIGUEL,98.6151983,201.89063791,199.0950289,71059.7451302208,71059.7451302208,MY2021-22,SULPHURCREEK,323,71059.7451302208,22952297.67706132
J01-9031-1,0.025644539999999997,2215.688256,3211.1423999999997,0.037166,LAKE FOREST,1,Unknown,LAKE FOREST,91.74566749,298.95942316,274.2825608,2946.0840289344055,2946.0840289344055,MY2021-22,TUCKER,291,2946.0840289344055,857310.452419912
J01-9066-2 (J01P03),0.06153213,5316.376031999999,8828.568000000001,0.089177,MISSION VIEJO,NA,Yes,LAKE FOREST,0.818376545,420.34930926,3.440043196,72.25092977137561,72.25092977137561,MY2021-22,ELTORO,309,72.25092977137561,22325.537299355063
J01-9066-2 (J01P03),0.06153213,5316.376031999999,8828.568000000001,0.089177,MISSION VIEJO,NA,Yes,MISSION VIEJO,99.18162349,420.34930926,416.9096378,8756.317073318625,8756.317073318625,MY2021-22,ELTORO,309,8756.317073318625,2705701.975655455
J01-9224-2 (J01P25),0.06698727,5787.7001279999995,1132.7039999999997,0.097083,LAGUNA NIGUEL,1,Yes,ALISO VIEJO,1.638278647,222.46726525,3.644636926,18.556847765714874,18.556847765714874,MY2021-22,SULPHURCREEK,323,18.556847765714874,5993.861828325905
J01-9224-2 (J01P25),0.06698727,5787.7001279999995,1132.7039999999997,0.097083,LAGUNA NIGUEL,1,Yes,LAGUNA NIGUEL,98.36172091,222.46726525,218.822824,1114.1471472164062,1114.1471472164062,MY2021-22,SULPHURCREEK,323,1114.1471472164062,359869.5285508992
J03-9216-1 (J03P01),0.00889893,768.8675519999999,1114.3008,0.012897,LAGUNA NIGUEL,NA,Yes,LAGUNA NIGUEL,100,13.41168034,13.41169219,1114.3008,1114.3008,MY2021-22,SULPHURCREEK,323,1114.3008,359919.1584
J03-9368-2 (J03TBN2),0.01691121,1461.1285439999997,275.83329599999996,0.024509,LAGUNA NIGUEL,NA,Yes,LAGUNA NIGUEL,100,34.23122305,34.23125331,275.83329599999996,275.83329599999996,MY2021-22,SULPHURCREEK,323,275.83329599999996,89094.15460799998
J07-9022-1,7.686599999999999e-4,66.412224,45.963936000000004,0.001114,MISSION VIEJO,NA,Yes,MISSION VIEJO,100,82.52382766,82.52390061,45.963936000000004,45.963936000000004,MY2021-22,ELTORO,309,45.963936000000004,14202.856224000001
K01-12036-5,0.03274809,2829.434976,4067.89776,0.047461,LAGUNA NIGUEL,NA,Yes,LAGUNA NIGUEL,100,28.07626103,28.07628585,4067.8977599999994,4067.8977599999994,MY2021-22,SULPHURCREEK,323,4067.8977599999994,1313930.9764799997
K01-12155-5,0.039590129999999994,3420.587232,4957.3728,0.057377,LAGUNA NIGUEL,NA,Unknown,LAGUNA NIGUEL,100,147.04555016,147.0456802,4957.3728,4957.3728,MY2021-22,SULPHURCREEK,323,4957.3728,1601231.4144000001
L01-125-3,0.02359869,2038.9268160000001,2954.9664,0.034201,RANCHO SANTA MARGARITA,NA,Yes,ORANGE CO,1.064651459,69.26665813,0.737449138,31.46009289055978,31.46009289055978,MY2021-22,TRABUCO,304,31.46009289055978,9563.868238730172
L01-125-3,0.02359869,2038.9268160000001,2954.9664,0.034201,RANCHO SANTA MARGARITA,NA,Yes,RANCHO SANTA MARGARITA,98.93535016,69.26665813,68.52927134,2923.506354950346,2923.506354950346,MY2021-22,TRABUCO,304,2923.506354950346,888745.9319049052
L01-728-2,0.0011950799999999998,103.25491199999998,149.6448,0.001732,DANA POINT,NA,Yes,DANA POINT,100.000001,95.97299313,95.97307889,149.644801496448,149.644801496448,MY2021-22,DANAPOINT,319,149.644801496448,47736.691677366915
L01-728-3 (L01S02),0.30228486,26117.411903999993,1013.472,0.438094,DANA POINT,NA,Yes,DANA POINT,8.724176507,1014.01862168,88.46485258,88.41708612902303,88.41708612902303,MY2021-22,DANAPOINT,319,88.41708612902303,28205.050475158347
L01-728-3 (L01S02),0.30228486,26117.411903999993,1013.472,0.438094,DANA POINT,NA,Yes,SAN CLEMENTE,0.203472958,1014.01862168,2.063255511,2.06214145690176,2.06214145690176,MY2021-22,DANAPOINT,319,2.06214145690176,657.8231247516615
L01-728-3 (L01S02),0.30228486,26117.411903999993,1013.472,0.438094,DANA POINT,NA,Yes,SAN JUAN CAPISTRANO,91.07235047,1014.01862168,923.4914094,922.9927717553184,922.9927717553184,MY2021-22,DANAPOINT,319,922.9927717553184,294434.6941899466
L01-749-2d,0.05640888,4873.727232,4769.28,0.081752,SAN JUAN CAPISTRANO,NA,Yes,SAN JUAN CAPISTRANO,100,NA,NA,4769.28,4769.28,MY2021-22,PALISADES,313,4769.28,1492784.64
L01-760-2,0.04998222,4318.463808,2246.807808,0.072438,ORANGE CO,NA,Yes,ORANGE CO,100,32.57431395,32.57434275,2246.807808,2246.807808,MY2021-22,TRABUCO,304,2246.807808,683029.573632
L01-766-7,5.927099999999999e-4,51.210143999999985,7.809696000000001,8.59e-4,SAN JUAN CAPISTRANO,NA,Unknown,SAN JUAN CAPISTRANO,100,56.73310957,56.73315973,7.809696,7.809696,MY2021-22,PALISADES,313,7.809696,2444.434848
L02-198-1 (L02P29),0.005761499999999999,497.79359999999986,715.3919999999999,0.00835,RANCHO SANTA MARGARITA,NA,Yes,RANCHO SANTA MARGARITA,100,NA,NA,715.3919999999999,715.3919999999999,MY2021-22,TRABUCO,304,715.3919999999999,217479.16799999998
L02-374-1 (L02P50),0.13307133,11497.362912,11336.399711999999,0.192857,ORANGE CO,1,Yes,ORANGE CO,100,456.48197184000003,456.4823754,11336.399711999999,11336.399711999999,MY2021-22,SULPHURCREEK,323,11336.399711999999,3661657.1069759997
L02-374-2 (MVL02P20),0.00595056,514.128384,596.16,0.008624,ORANGE CO,NA,Yes,MISSION VIEJO,100,84.33765496,84.33772952,596.16,596.16,MY2021-22,SULPHURCREEK,323,596.16,192559.68
L02-541-6,0.0014427899999999998,124.65705599999998,180.6624,0.002091,SAN JUAN CAPISTRANO,NA,Yes,SAN JUAN CAPISTRANO,100,17.62492719,17.62494277,180.6624,180.6624,MY2021-22,PALISADES,313,180.6624,56547.3312
L02-622-1 (L02P28),0.009833189999999999,849.5876159999998,1231.2864,0.014251,RANCHO SANTA MARGARITA,NA,Unknown,RANCHO SANTA MARGARITA,100,256.93195174,256.9321789,1231.2864,1231.2864,MY2021-22,TRABUCO,304,1231.2864,374311.0656
L02-641-1,0.03796587,3280.251168,2790.0288,0.055023,RANCHO SANTA MARGARITA,1,Yes,ORANGE CO,0.587888306,926.34500026,5.44587874,16.402253049232126,16.402253049232126,MY2021-22,TRABUCO,304,16.402253049232126,4986.284926966567
L02-641-1,0.03796587,3280.251168,2790.0288,0.055023,RANCHO SANTA MARGARITA,1,Yes,RANCHO SANTA MARGARITA,99.41211166,926.34500026,920.8999402,2773.6265460021577,2773.6265460021577,MY2021-22,TRABUCO,304,2773.6265460021577,843182.469984656
L03-241-4,0.00668196,577.321344,1257.3610559999997,0.009684,MISSION VIEJO,NA,Yes,MISSION VIEJO,100,209.49721786,NA,1257.3610559999997,1257.3610559999997,MY2021-22,ELTORO,309,1257.3610559999997,388524.5663039999
L03-316-2,0.00902658,779.8965119999998,119.232,0.013082,MISSION VIEJO,NA,Yes,MISSION VIEJO,100,143.04145576,143.0415822,119.23200000000001,119.23200000000001,MY2021-22,ELTORO,309,119.23200000000001,36842.688
L03-316-4,0.01591416,1374.983424,0,0.023064,MISSION VIEJO,NA,Yes,MISSION VIEJO,100,44.10840687,NA,0,0,MY2021-22,ELTORO,309,0,0
L03-418-2,0.005453759999999999,471.20486399999993,1033.324128,0.007904,LAGUNA NIGUEL,NA,Yes,LAGUNA NIGUEL,100,NA,NA,1033.324128,1033.324128,MY2021-22,SULPHURCREEK,323,1033.324128,333763.69334399997
L03-662-3 (L03P16),0.10237805999999999,8845.464383999999,1669.248,0.148374,MISSION VIEJO,1,Yes,MISSION VIEJO,100,436.64832448,436.6487105,1669.2480000000003,1669.2480000000003,MY2021-22,ELTORO,309,1669.2480000000003,515797.6320000001
L04-266-5,0.32193399,27815.096736,12945.077856,0.466571,MISSION VIEJO,1,Yes,MISSION VIEJO,100,577.85257612,577.853087,12945.077856,12945.077856,MY2021-22,ELTORO,309,12945.077856,4000029.057504
LC06-11509-2,0.010634969999999999,918.861408,628.710336,0.015413,LAGUNA BEACH,NA,Yes,LAGUNA BEACH,63.38208068,51.8633,32.87206771,398.4896924070191,398.4896924070191,MY2021-22,LAGUNABEACH,318,398.4896924070191,126719.72218543208
LC06-11509-2,0.010634969999999999,918.861408,628.710336,0.015413,LAGUNA BEACH,NA,Yes,ORANGE CO,36.61792026,51.8633,18.99127863,230.22064950285807,230.22064950285807,MY2021-22,LAGUNABEACH,318,230.22064950285807,73210.16654190887
M02-052-2,0.46280162999999996,39986.060831999996,21963.42864,0.670727,SAN CLEMENTE,NA,Yes,ORANGE CO,5.965513916,3106.39477221,185.3125762,1310.2313919499293,1310.2313919499293,MY2021-22,PALISADES,313,1310.2313919499293,410102.42568032787
M02-052-2,0.46280162999999996,39986.060831999996,21963.42864,0.670727,SAN CLEMENTE,NA,Yes,SAN CLEMENTE,94.0344861,3106.39477221,2921.084943,20653.197251564216,20653.197251564216,MY2021-22,PALISADES,313,20653.197251564216,6464450.7397396
M02-061-4 (SCBS@M02),0.00993324,858.2319359999999,423.094752,0.014396,SAN CLEMENTE,NA,Yes,SAN CLEMENTE,100,90.38163929,90.38171919,423.094752,423.094752,MY2021-22,PALISADES,313,423.094752,132428.65737600002
M02-061-6,0.00733815,634.01616,918.864,0.010635,SAN CLEMENTE,NA,Yes,SAN CLEMENTE,100,40.9633321,40.96336831,918.864,918.864,MY2021-22,PALISADES,313,918.864,287604.43200000003
SC05-073-3,0.00209277,180.815328,262.0512,0.003033,SAN CLEMENTE,NA,Yes,SAN CLEMENTE,100,30.16696063,30.16698731,262.0512,262.0512,MY2021-22,PALISADES,313,262.0512,82022.0256
SC06-146-2 (M00P02),0.03903882,3372.9540479999996,4471.200000000001,0.056578,SAN CLEMENTE,NA,Yes,SAN CLEMENTE,99.99837363,325.80676057,325.8017498,4471.127281744561,4471.127281744561,MY2021-22,PALISADES,313,4471.127281744561,1399462.8391860474
SC07-079-5,0.0024012,207.46368,858.4703999999999,0.00348,SAN CLEMENTE,NA,Yes,SAN CLEMENTE,100,29.94605554,29.94608202,858.4703999999999,858.4703999999999,MY2021-22,PALISADES,313,858.4703999999999,268701.2352
SM01-086-2,0.0138,1192.32,1728,0.02,SAN CLEMENTE,NA,Unknown,SAN CLEMENTE,100,NA,NA,1728,1728,MY2021-22,PALISADES,313,1728,540864
L04-301-1 (L04P08),0.024127919999999997,2084.652288,3021.2352,0.034968,MISSION VIEJO,NA,Yes,MISSION VIEJO,100,191.83607914,191.8362487,3021.2352,3021.2352,MY2021-22,ELTORO,309,3021.2352,933561.6768
SC11-130-2,0.00958065,827.7681599999999,1199.664,0.013885,DANA POINT,NA,Unknown,DANA POINT,100,NA,NA,1199.664,1199.664,MY2021-22,PALISADES,313,1199.664,375494.832
DP01-12022-2,NA,NA,0,0,DANA POINT,NA,Unknown,DANA POINT,100,NA,NA,0,0,MY2021-22,DANAPOINT,319,0,0
DP06-12106-1,NA,NA,5365.44,0.227,DANA POINT,NA,Yes,DANA POINT,100,66.54528569,66.54534452,5365.44,5365.44,MY2021-22,DANAPOINT,319,5365.44,1711575.3599999999
I00-11453-1,NA,NA,0,0.013896,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,100,342.08954194,342.0898444,0,0,MY2021-22,LAGUNABEACH,318,0,0
I00-11468-1,NA,NA,729.193104,0.039855,LAGUNA BEACH,1,Yes,LAGUNA BEACH,91.76756832,223.33679991,204.9509316,669.1627798979285,669.1627798979285,MY2021-22,LAGUNABEACH,318,669.1627798979285,212793.76400754126
I00-11468-1,NA,NA,729.193104,0.039855,LAGUNA BEACH,1,Yes,ORANGE CO,8.232432026,223.33679991,18.3860665,60.03032662507948,60.03032662507948,MY2021-22,LAGUNABEACH,318,60.03032662507948,19089.643866775274
I00-11518-1,NA,NA,0,0.079534,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,96.690419790000007,645.16066542,623.8091072,0,0,MY2021-22,LAGUNABEACH,318,0,0
I00-11518-1,NA,NA,0,0.079534,LAGUNA BEACH,NA,Unknown,ORANGE CO,3.309580209,645.16066542,21.35212857,0,0,MY2021-22,LAGUNABEACH,318,0,0
I01-11010-1,NA,NA,638.099856,0.03819,LAGUNA BEACH,1,Yes,LAGUNA BEACH,100,12.1490758,12.14908654,638.099856,638.099856,MY2021-22,LAGUNABEACH,318,638.099856,202915.75420800003
I01-11015-2,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,9.814813201,245.37795985,24.08340969,0,0,MY2021-22,LAGUNABEACH,318,0,0
I01-11015-2,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,ORANGE CO,90.18518695,245.37795985,221.2947674,0,0,MY2021-22,LAGUNABEACH,318,0,0
I01-11015-3,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,100,NA,NA,0,0,MY2021-22,LAGUNABEACH,318,0,0
I01-11023-2,NA,NA,0,2.04e-4,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,100,16.81555601,16.81557088,0,0,MY2021-22,LAGUNABEACH,318,0,0
I01-11023-3,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,2.021964214,36.18156164,0.731578875,0,0,MY2021-22,LAGUNABEACH,318,0,0
I01-11023-3,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,ORANGE CO,97.97803498,36.18156164,35.45001446,0,0,MY2021-22,LAGUNABEACH,318,0,0
I01-11023-4,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,99.99999471,6.44034236,6.44034771,0,0,MY2021-22,LAGUNABEACH,318,0,0
I01-11023-5,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,8.451122386,12.44670623,1.051887306,0,0,MY2021-22,LAGUNABEACH,318,0,0
I01-11023-5,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,ORANGE CO,91.54887409,12.44670623,11.39482948,0,0,MY2021-22,LAGUNABEACH,318,0,0
I01-11059-1,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,99.99999976,282.44365092,282.4438999,0,0,MY2021-22,LAGUNABEACH,318,0,0
I01-11059-2,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,100,9.28778099,9.287789205,0,0,MY2021-22,LAGUNABEACH,318,0,0
I01-11059-3,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,100,NA,NA,0,0,MY2021-22,LAGUNABEACH,318,0,0
I01-11065-1,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,100,NA,NA,0,0,MY2021-22,LAGUNABEACH,318,0,0
I01-11077-1,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,92.37171423,118.05411389,109.0487051,0,0,MY2021-22,LAGUNABEACH,318,0,0
I01-11077-1,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,ORANGE CO,7.628285715,118.05411389,9.005513067,0,0,MY2021-22,LAGUNABEACH,318,0,0
I01-11077-2,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,100,NA,NA,0,0,MY2021-22,LAGUNABEACH,318,0,0
I01-11093-1,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,15.10734659,87.63278849,13.23900078,0,0,MY2021-22,LAGUNABEACH,318,0,0
I01-11093-1,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,ORANGE CO,84.89265355,87.63278849,74.3938653,0,0,MY2021-22,LAGUNABEACH,318,0,0
I01-11093-2,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,1.070402039,296.78090067,3.176751622,0,0,MY2021-22,LAGUNABEACH,318,0,0
I01-11093-2,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,ORANGE CO,98.92959796,296.78090067,293.6044114,0,0,MY2021-22,LAGUNABEACH,318,0,0
I01-11343-2 (I02P18),NA,NA,113.09155199999998,0.007519,LAGUNA WOODS,1,Yes,LAGUNA WOODS,98.79491313,46.81104081,46.24696799,111.72870055576875,111.72870055576875,MY2021-22,ELTORO,309,111.72870055576875,34524.16847173255
J01-10004-1 (J01P01),NA,NA,6825.454632,0.31136,LAKE FOREST,1,Yes,LAKE FOREST,97.22901103,479.88775953,466.5905351,6636.322036994925,6636.322036994925,MY2021-22,ELTORO,309,6636.322036994925,2050623.5094314318
J01-10017-1 (J01TBN4),NA,NA,192.646134,0.015398,ALISO VIEJO,NA,Yes,ALISO VIEJO,100,17.42256719,17.42258259,192.646134,192.646134,MY2021-22,SULPHURCREEK,323,192.646134,62224.701281999995
J01-10019-1 (J01P33),NA,NA,899.0705700000001,0.007265,ALISO VIEJO,NA,Yes,ALISO VIEJO,100,72.93906351,72.93912799,899.0705700000002,899.0705700000002,MY2021-22,SULPHURCREEK,323,899.0705700000002,290399.7941100001
J01-9005-1 (J03P05),NA,NA,3320.135892,0.033498,LAGUNA NIGUEL,NA,Yes,LAGUNA NIGUEL,100,127.79044152,127.7905545,3320.135892,3320.135892,MY2021-22,SULPHURCREEK,323,3320.135892,1072403.8931159999
J01-9007-1 (J02P05),NA,NA,2773.4399999999996,0.11084,ALISO VIEJO,1,Yes,ALISO VIEJO,98.19424307,145.61257767,142.9832949,2723.3584150006077,2723.3584150006077,MY2021-22,SULPHURCREEK,323,2723.3584150006077,879644.7680451963
J01-9007-1 (J02P05),NA,NA,2773.4399999999996,0.11084,ALISO VIEJO,1,Yes,ORANGE CO,1.805757306,145.61257767,2.629412085,50.08159542752639,50.08159542752639,MY2021-22,SULPHURCREEK,323,50.08159542752639,16176.355323091024
