FACILITYID,Date,FlowConnectivity,Plot Connectivitity
DP01-12022-1,7/12/2022,Direct Connection,Direct Connection
DP01-12022-1,9/26/2022,Direct Connection,Direct Connection
DP01-12022-2,7/12/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
DP01-12022-2,9/26/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
DP04-12015-1,7/5/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
DP04-12015-1,9/1/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
DP06-12106-1,7/12/2022,Partial - Significant Distance,Partial - Significant Distance
DP06-12106-1,9/26/2022,None - Flow Infiltrates or Outfall is Dry,Partial - Significant Distance
I00-11437-1,6/21/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I00-11437-1,9/7/2022,Undetermined,None - Flow Infiltrates or Outfall is Dry
I00-11453-1,7/5/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I00-11453-1,8/16/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I00-11468-1,6/21/2022,Direct Connection,Direct Connection
I00-11468-1,9/7/2022,Direct Connection,Direct Connection
I00-11518-1,7/5/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I00-11518-1,8/16/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I00-11518-2,7/5/2022,Direct Connection,Direct Connection
I00-11518-2,8/16/2022,NA,Direct Connection
I01-11010-1,6/21/2022,Direct Connection,Direct Connection
I01-11010-1,9/7/2022,Direct Connection,Direct Connection
I01-11015-2,7/21/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I01-11015-2,9/1/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I01-11015-3,7/21/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I01-11015-3,9/1/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I01-11023-1,6/21/2022,Direct Connection,Direct Connection
I01-11023-1,9/7/2022,Direct Connection,Direct Connection
I01-11023-1,9/1/2022,NA,Direct Connection
I01-11023-2,7/21/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I01-11023-2,9/1/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I01-11023-3,7/21/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I01-11023-3,9/1/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I01-11023-4,7/21/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I01-11023-4,9/1/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I01-11023-5,7/21/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I01-11023-5,9/1/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I01-11059-1,7/21/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I01-11059-1,9/1/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I01-11059-2,7/21/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I01-11059-2,9/1/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I01-11059-3,7/21/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I01-11059-3,9/1/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I01-11065-1,7/21/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I01-11065-1,9/1/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I01-11077-1,7/21/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I01-11077-1,9/1/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I01-11077-2,7/21/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I01-11077-2,9/1/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I01-11093-1,7/21/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I01-11093-1,9/1/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I01-11093-2,7/21/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I01-11093-2,9/1/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I01-11195-2,NA,NA,Undetermined
I01-11216-1 (I02P13),6/28/2022,Undetermined,Undetermined
I01-11216-1 (I02P13),9/14/2022,Undetermined,Undetermined
I01-11216-2 (I02P12),9/14/2022,Undetermined,Undetermined
I01-11216-2 (I02P12),6/28/2022,NA,Undetermined
I01-11216-3,6/28/2022,Undetermined,Undetermined
I01-11216-3,9/14/2022,Undetermined,Undetermined
I01-11216-4 (I02P14),6/28/2022,Undetermined,Undetermined
I01-11216-4 (I02P14),9/14/2022,Undetermined,Undetermined
I01-11217-1,6/28/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I01-11217-1,9/14/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I01-11343-1,6/14/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
I01-11343-1,8/23/2022,Undetermined,None - Flow Infiltrates or Outfall is Dry
I01-11343-2 (I02P18),6/14/2022,Undetermined,Undetermined
I01-11343-2 (I02P18),8/23/2022,Undetermined,Undetermined
I01-11487-1,7/5/2022,None - Flow Infiltrates or Outfall is Dry,Partial - Significant Distance
I01-11487-1,8/16/2022,Partial - Significant Distance,Partial - Significant Distance
I01-11487-2,7/5/2022,Partial - Significant Distance,Partial - Significant Distance
I01-11487-2,8/16/2022,Partial - Significant Distance,Partial - Significant Distance
I01-11502-1,NA,NA,Undetermined
I01-11503-3,6/28/2022,Partial - Significant Distance,Partial - Significant Distance
I01-11503-3,9/14/2022,Partial - Significant Distance,Partial - Significant Distance
I01-11503-5,6/28/2022,Direct Connection,Direct Connection
I01-11503-5,9/14/2022,Direct Connection,Direct Connection
J01-10004-1 (J01P01),6/21/2022,Direct Connection,Direct Connection
J01-10004-1 (J01P01),6/30/2022,Direct Connection,Direct Connection
J01-10004-1 (J01P01),8/18/2022,Direct Connection,Direct Connection
J01-10004-2,6/21/2022,Partial - Significant Distance,Partial - Significant Distance
J01-10004-2,8/18/2022,Partial - Significant Distance,Partial - Significant Distance
J01-10006-1,6/21/2022,None - Flow Infiltrates or Outfall is Dry,Partial - Significant Distance
J01-10006-1,8/9/2022,Direct Connection,Partial - Significant Distance
J01-10012-3,NA,NA,Undetermined
J01-10017-1 (J01TBN4),6/28/2022,None - Flow Infiltrates or Outfall is Dry,Partial - Significant Distance
J01-10017-1 (J01TBN4),7/13/2022,Direct Connection,Partial - Significant Distance
J01-10019-1 (J01P33),7/13/2022,Direct Connection,Direct Connection
J01-10019-1 (J01P33),9/14/2022,Undetermined,Direct Connection
J01-10041-2 (J03P13),6/28/2022,Partial - Significant Distance,Partial - Significant Distance
J01-9005-1 (J03P05),7/8/2022,Direct Connection,Direct Connection
J01-9005-3,7/8/2022,Direct Connection,Direct Connection
J01-9007-1 (J02P05),6/23/2022,Undetermined,Undetermined
J01-9007-1 (J02P05),7/13/2022,Unsafe to Access,Undetermined
J01-9007-1 (J02P05),9/8/2022,Undetermined,Undetermined
J01-9008-1 (J01P30),6/28/2022,Direct Connection,Direct Connection
J01-9008-1 (J01P30),7/1/2022,Direct Connection,Direct Connection
J01-9031-1,6/21/2022,Partial - Significant Distance,Partial - Significant Distance
J01-9031-1,8/18/2022,Partial - Significant Distance,Partial - Significant Distance
J01-9033-1,NA,NA,Undetermined
J01-9040-1,4/7/2022,Direct Connection,Direct Connection
J01-9040-1,4/14/2022,Direct Connection,Direct Connection
J01-9040-1,4/21/2022,Direct Connection,Direct Connection
J01-9040-1,5/12/2022,Direct Connection,Direct Connection
J01-9040-1,5/19/2022,None - Flow Infiltrates or Outfall is Dry,Direct Connection
J01-9046-1,6/21/2022,Direct Connection,Direct Connection
J01-9046-1,6/30/2022,None - Flow Infiltrates or Outfall is Dry,Direct Connection
J01-9046-1,8/18/2022,Direct Connection,Direct Connection
J01-9046-2,6/21/2022,Direct Connection,Direct Connection
J01-9046-2,6/30/2022,Direct Connection,Direct Connection
J01-9046-2,8/18/2022,Direct Connection,Direct Connection
J01-9046-3,NA,NA,Undetermined
J01-9066-1 (J01P04),6/21/2022,Direct Connection,Direct Connection
J01-9066-1 (J01P04),7/1/2022,Direct Connection,Direct Connection
J01-9066-1 (J01P04),8/9/2022,Direct Connection,Direct Connection
J01-9066-2 (J01P03),6/21/2022,Direct Connection,Direct Connection
J01-9066-2 (J01P03),7/1/2022,Direct Connection,Direct Connection
J01-9066-2 (J01P03),8/9/2022,Direct Connection,Direct Connection
J01-9082-2,6/23/2022,Direct Connection,Direct Connection
J01-9082-2,7/13/2022,Direct Connection,Direct Connection
J01-9082-2,8/22/2022,Direct Connection,Direct Connection
J01-9082-3,6/23/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
J01-9082-3,7/13/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
J01-9082-3,8/22/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
J01-9082-4,6/23/2022,Direct Connection,Direct Connection
J01-9082-4,7/13/2022,Direct Connection,Direct Connection
J01-9082-4,8/22/2022,Direct Connection,Direct Connection
J01-9131-1 (J01P28),6/23/2022,Direct Connection,Direct Connection
J01-9131-1 (J01P28),7/1/2022,None - Flow Infiltrates or Outfall is Dry,Direct Connection
J01-9131-1 (J01P28),9/8/2022,Direct Connection,Direct Connection
J01-9144-1 (J01P23),6/28/2022,Direct Connection,Direct Connection
J01-9144-1 (J01P23),7/13/2022,Direct Connection,Direct Connection
J01-9144-4 (J01P26),7/13/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
J01-9144-4 (J01P26),8/31/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
J01-9224-1 (J01P24),6/15/2022,Direct Connection,Direct Connection
J01-9224-1 (J01P24),7/13/2022,Direct Connection,Direct Connection
J01-9224-1 (J01P24),8/18/2022,Direct Connection,Direct Connection
J01-9224-1 (J01P24),8/10/2022,NA,Undetermined
J01-9224-2 (J01P25),6/15/2022,Direct Connection,Direct Connection
J01-9224-2 (J01P25),7/13/2022,Direct Connection,Direct Connection
J01-9224-2 (J01P25),8/18/2022,Direct Connection,Direct Connection
J01-9259-3,6/21/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
J01-9259-3,8/9/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
J01-9264-1 (J01P06),6/30/2022,Partial - Significant Distance,Partial - Significant Distance
J01-9264-1 (J01P06),9/21/2022,Partial - Significant Distance,Partial - Significant Distance
J01-9273-1,6/14/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
J01-9273-1,7/1/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
J01-9273-1,8/23/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
J01-9275-1,NA,NA,Undetermined
J01-9275-2,6/21/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
J01-9275-2,9/1/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
J01-9313-1,NA,NA,Undetermined
J01-9349-1,6/21/2022,Direct Connection,Direct Connection
J01-9349-1,6/30/2022,None - Flow Infiltrates or Outfall is Dry,Direct Connection
J01-9349-1,8/18/2022,Direct Connection,Direct Connection
J01-9364-3 (J01P21),6/28/2022,Direct Connection,Direct Connection
J01-9364-3 (J01P21),7/8/2022,Direct Connection,Direct Connection
J01-9364-4,6/28/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
J01-9364-4,8/29/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
J01-9377-1,6/21/2022,Direct Connection,Direct Connection
J01-9377-1,6/30/2022,None - Flow Infiltrates or Outfall is Dry,Direct Connection
J01-9377-1,8/18/2022,Direct Connection,Direct Connection
J01-9377-2 (J01TBN8),6/21/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
J01-9377-2 (J01TBN8),9/1/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
J01-9782-1 (J01TBN3),6/21/2022,Direct Connection,Direct Connection
J01-9782-1 (J01TBN3),8/18/2022,Direct Connection,Direct Connection
J01-9785-1,8/1/2022,Direct Connection,Direct Connection
J01-9785-1,9/14/2022,Direct Connection,Direct Connection
J01-9992-1 (J01P27),6/23/2022,Direct Connection,Direct Connection
J01-9992-1 (J01P27),7/1/2022,Direct Connection,Direct Connection
J01-9992-1 (J01P27),9/8/2022,Direct Connection,Direct Connection
J03-9215-1,6/23/2022,Direct Connection,Direct Connection
J03-9215-1,8/4/2022,Direct Connection,Direct Connection
J03-9215-3,6/23/2022,Direct Connection,Direct Connection
J03-9215-3,7/8/2022,Direct Connection,Direct Connection
J03-9215-3,8/4/2022,Direct Connection,Direct Connection
J03-9216-1 (J03P01),7/6/2022,Direct Connection,Direct Connection
J03-9216-1 (J03P01),7/8/2022,Direct Connection,Direct Connection
J03-9216-1 (J03P01),8/4/2022,Direct Connection,Direct Connection
J03-9216-2,8/4/2022,Partial - Significant Distance,Partial - Significant Distance
J03-9216-2,8/8/2022,Partial - Significant Distance,Partial - Significant Distance
J03-9216-5,8/4/2022,Partial - Significant Distance,Partial - Significant Distance
J03-9221-1 (J03P02),6/15/2022,Undetermined,Undetermined
J03-9221-1 (J03P02),7/8/2022,Unsafe to Access,Undetermined
J03-9221-1 (J03P02),8/18/2022,Undetermined,Undetermined
J03-9234-5,7/6/2022,Direct Connection,Direct Connection
J03-9234-5,8/31/2022,NA,Direct Connection
J03-9234-6,7/6/2022,Partial - Significant Distance,Partial - Significant Distance
J03-9234-6,7/8/2022,Partial - Significant Distance,Partial - Significant Distance
J03-9234-6,8/31/2022,Partial - Significant Distance,Partial - Significant Distance
J03-9234-8,7/6/2022,Partial - Significant Distance,Partial - Significant Distance
J03-9234-8,8/31/2022,Partial - Significant Distance,Partial - Significant Distance
J03-9368-1 (J03TBN1),6/23/2022,Direct Connection,Direct Connection
J03-9368-1 (J03TBN1),7/8/2022,Direct Connection,Direct Connection
J03-9368-1 (J03TBN1),8/4/2022,Direct Connection,Direct Connection
J03-9368-2 (J03TBN2),6/23/2022,Direct Connection,Direct Connection
J03-9368-2 (J03TBN2),7/6/2022,Direct Connection,Direct Connection
J03-9368-2 (J03TBN2),7/8/2022,Direct Connection,Direct Connection
J03-9368-2 (J03TBN2),8/4/2022,Direct Connection,Direct Connection
J04-9249-1,7/8/2022,Direct Connection,Direct Connection
J05-9255-1 (J05P01),8/2/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
J05-9255-1 (J05P01),9/21/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
J05-9271-6,8/2/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
J05-9271-6,9/21/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
J05-9800-2,7/1/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
J05-9800-2,9/21/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
J06-10011-1 (J06P01),6/23/2022,Direct Connection,Direct Connection
J06-10011-1 (J06P01),7/13/2022,Direct Connection,Direct Connection
J06-10011-1 (J06P01),8/22/2022,Direct Connection,Direct Connection
J06-9079-1 (J06P03),6/23/2022,Direct Connection,Direct Connection
J06-9079-1 (J06P03),7/13/2022,Direct Connection,Direct Connection
J06-9079-1 (J06P03),8/22/2022,Direct Connection,Direct Connection
J07-9022-1,6/21/2022,Direct Connection,Direct Connection
J07-9022-1,8/9/2022,Partial - Significant Distance,Direct Connection
J07-9022-6,6/21/2022,Partial - Significant Distance,Partial - Significant Distance
J07-9022-6,8/9/2022,Partial - Significant Distance,Partial - Significant Distance
J07-9109-1,6/21/2022,Partial - Significant Distance,Partial - Significant Distance
J07-9109-1,8/9/2022,None - Flow Infiltrates or Outfall is Dry,Partial - Significant Distance
J07-9109-2,6/21/2022,Partial - Significant Distance,Partial - Significant Distance
J07-9109-2,8/9/2022,None - Flow Infiltrates or Outfall is Dry,Partial - Significant Distance
