FACILITYID,Date,FlowConnectivity,Plot Connectivitity
L02-502-6,8/11/2022,NA,Undetermined
L02-541-2,6/28/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L02-541-2,9/14/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L02-541-6,6/28/2022,Direct Connection,Direct Connection
L02-541-6,9/14/2022,Direct Connection,Direct Connection
L02-541-7,6/28/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L02-541-7,9/14/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L02-541-9 (L02P02),6/22/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L02-541-9 (L02P02),8/11/2022,Undetermined,None - Flow Infiltrates or Outfall is Dry
L02-571-1,NA,NA,Undetermined
L02-571-3,7/20/2022,Direct Connection,Direct Connection
L02-571-3,9/14/2022,Direct Connection,Direct Connection
L02-571-5 (L02TBN2),6/28/2022,Direct Connection,Direct Connection
L02-571-5 (L02TBN2),9/14/2022,Direct Connection,Direct Connection
L02-622-1 (L02P28),7/27/2022,Undetermined,Undetermined
L02-622-1 (L02P28),9/20/2022,Undetermined,Undetermined
L02-622-2 (L02P32),NA,NA,Undetermined
L02-640-1 (L11P02),NA,NA,Undetermined
L02-641-1,6/27/2022,Direct Connection,Direct Connection
L02-641-1,8/25/2022,Direct Connection,Direct Connection
L02-641-2,6/27/2022,Direct Connection,Direct Connection
L02-641-2,6/27/2022,Direct Connection,Direct Connection
L02-641-2,8/25/2022,Direct Connection,Direct Connection
L03-074-1 (L03B01),6/22/2022,Direct Connection,Direct Connection
L03-074-1 (L03B01),8/9/2022,Direct Connection,Direct Connection
L03-074-2,6/22/2022,NA,Undetermined
L03-074-2,8/9/2022,NA,Undetermined
L03-141-1,6/22/2022,Direct Connection,Direct Connection
L03-141-1,8/9/2022,Direct Connection,Direct Connection
L03-141-2,6/22/2022,Direct Connection,Direct Connection
L03-141-2,8/9/2022,Direct Connection,Direct Connection
L03-141-3,6/22/2022,Direct Connection,Direct Connection
L03-141-3,8/9/2022,Direct Connection,Direct Connection
L03-142-1 (L03P24),7/27/2022,Undetermined,Undetermined
L03-142-1 (L03P24),9/1/2022,Undetermined,Undetermined
L03-172-2,6/22/2022,NA,Undetermined
L03-172-2,8/9/2022,NA,Undetermined
L03-172-3,6/22/2022,NA,Undetermined
L03-172-3,8/9/2022,NA,Undetermined
L03-214-2 (L03P18),6/14/2022,Direct Connection,Direct Connection
L03-214-2 (L03P18),8/23/2022,Direct Connection,Direct Connection
L03-240-1 (L03P14),6/22/2022,Direct Connection,Direct Connection
L03-240-1 (L03P14),8/9/2022,Direct Connection,Direct Connection
L03-241-3,8/9/2022,Direct Connection,Direct Connection
L03-241-4,6/22/2022,Direct Connection,Direct Connection
L03-241-4,8/9/2022,Direct Connection,Direct Connection
L03-316-1,8/2/2022,Direct Connection,Direct Connection
L03-316-1,9/1/2022,Direct Connection,Direct Connection
L03-316-2,6/22/2022,Direct Connection,Direct Connection
L03-316-2,8/2/2022,Partial - Significant Distance,Partial - Significant Distance
L03-316-2,9/1/2022,Partial - Significant Distance,Partial - Significant Distance
L03-316-3 (L03P12),6/14/2022,Direct Connection,Direct Connection
L03-316-3 (L03P12),8/23/2022,Direct Connection,Direct Connection
L03-316-4,6/22/2022,Direct Connection,Direct Connection
L03-316-4,9/1/2022,Partial - Significant Distance,Direct Connection
L03-418-1,7/6/2022,Direct Connection,Direct Connection
L03-418-1,9/21/2022,Direct Connection,Direct Connection
L03-418-2,6/23/2022,Partial - Significant Distance,Partial - Significant Distance
L03-418-2,8/4/2022,Partial - Significant Distance,Partial - Significant Distance
L03-418-3,6/23/2022,Partial - Significant Distance,Partial - Significant Distance
L03-418-3,8/4/2022,None - Flow Infiltrates or Outfall is Dry,Partial - Significant Distance
L03-418-8,6/15/2022,Direct Connection,Direct Connection
L03-418-8,8/18/2022,Direct Connection,Direct Connection
L03-455-2,7/6/2022,Direct Connection,Direct Connection
L03-455-2,8/11/2022,Direct Connection,Direct Connection
L03-455-3 (L03P37),7/6/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L03-455-3 (L03P37),8/11/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L03-455-4,7/6/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L03-455-4,8/11/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L03-455-5,7/6/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L03-455-5,9/21/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L03-455-6,7/6/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L03-455-6,9/21/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L03-455-7,7/6/2022,Direct Connection,Direct Connection
L03-455-7,9/21/2022,Direct Connection,Direct Connection
L03-497-1,NA,NA,Undetermined
L03-662-3 (L03P16),6/14/2022,Partial - Significant Distance,Partial - Significant Distance
L03-662-3 (L03P16),8/23/2022,Partial - Significant Distance,Partial - Significant Distance
L03-691-1 (L03P09),7/6/2022,Partial - Significant Distance,Partial - Significant Distance
L03-693-1 (L03P11),7/6/2022,Direct Connection,Direct Connection
L03-693-1 (L03P11),8/23/2022,Direct Connection,Direct Connection
L03-708-1,6/15/2022,Direct Connection,Direct Connection
L03-708-1,6/15/2022,Direct Connection,Direct Connection
L03-708-1,8/18/2022,Direct Connection,Direct Connection
L03-708-11 (L03P05),6/23/2022,Direct Connection,Partial - Significant Distance
L03-708-11 (L03P05),8/4/2022,None - Flow Infiltrates or Outfall is Dry,Partial - Significant Distance
L03-708-13,6/23/2022,Direct Connection,Direct Connection
L03-708-13,8/4/2022,Direct Connection,Direct Connection
L03-708-5,6/23/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L03-708-5,8/4/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L03-708-9,6/23/2022,Direct Connection,Direct Connection
L03-708-9,8/4/2022,Direct Connection,Direct Connection
L04-136-1u (L04P07),6/29/2022,Partial - Significant Distance,Partial - Significant Distance
L04-136-1u (L04P07),8/23/2022,Partial - Significant Distance,Partial - Significant Distance
L04-266-1,NA,NA,Undetermined
L04-266-5,6/14/2022,Direct Connection,Direct Connection
L04-266-5,8/23/2022,Direct Connection,Direct Connection
L04-301-1 (L04P08),6/22/2022,NA,Undetermined
L04-672-1,6/29/2022,Partial - Significant Distance,Partial - Significant Distance
L04-672-1,6/29/2022,Partial - Significant Distance,Partial - Significant Distance
L04-672-1,8/23/2022,Partial - Significant Distance,Partial - Significant Distance
L04-702-1 (L04P02),8/2/2022,Direct Connection,Direct Connection
L04-702-1 (L04P02),9/1/2022,Direct Connection,Direct Connection
L04-702-4,8/2/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L04-702-4,9/1/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L05-049-1,6/16/2022,Direct Connection,Direct Connection
L05-049-1,9/6/2022,Direct Connection,Direct Connection
L05-049-2,9/6/2022,Direct Connection,Direct Connection
L05-489-3,6/16/2022,Direct Connection,Direct Connection
L05-489-3,9/6/2022,Direct Connection,Direct Connection
L05-489-3d,6/16/2022,Direct Connection,Direct Connection
L05-489-3d,9/6/2022,Direct Connection,Direct Connection
L05-489-4,6/16/2022,None - Flow Infiltrates or Outfall is Dry,Partial - Significant Distance
L05-489-4,9/6/2022,Direct Connection,Partial - Significant Distance
L05-489-7,6/16/2022,Direct Connection,Direct Connection
L05-489-7,6/16/2022,Direct Connection,Direct Connection
L05-489-7,9/6/2022,Direct Connection,Direct Connection
L05-503-1,6/22/2022,Direct Connection,Direct Connection
L05-503-1,9/6/2022,Direct Connection,Direct Connection
LC01-11446-1,7/5/2022,Direct Connection,Partial - Significant Distance
LC01-11446-1,9/7/2022,Partial - Significant Distance,Partial - Significant Distance
LC01-11480-1,NA,NA,Undetermined
LC02-11508-2,7/5/2022,Direct Connection,Direct Connection
LC02-11508-2,8/16/2022,Undetermined,Direct Connection
LC02-11508-3,7/5/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
LC02-11508-3,8/16/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
LC03-11515-1,7/5/2022,Direct Connection,Partial - Significant Distance
LC03-11515-1,9/1/2022,None - Flow Infiltrates or Outfall is Dry,Partial - Significant Distance
LC04-11199-1,NA,NA,Undetermined
LC05-11017-1,7/5/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
LC05-11017-1,8/29/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
LC05-11017-2,NA,NA,Undetermined
LC06-11019-1,6/21/2022,None - Flow Infiltrates or Outfall is Dry,Partial - Significant Distance
LC06-11019-1,8/16/2022,Direct Connection,Partial - Significant Distance
LC06-11509-2,6/21/2022,None - Flow Infiltrates or Outfall is Dry,Partial - Significant Distance
LC06-11509-2,7/5/2022,Partial - Significant Distance,Partial - Significant Distance
LC06-11509-2,8/16/2022,Direct Connection,Direct Connection
M00.1-070-4,NA,NA,Undetermined
M00.1-070-6,NA,NA,Undetermined
M00.1-071-2 (M00S04),7/19/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
M00.1-071-2 (M00S04),8/30/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
M00.1-071-3 (M00S04),7/19/2022,Direct Connection,Direct Connection
M00.1-071-3 (M00S04),8/30/2022,Direct Connection,Direct Connection
M00.2-066-1 (M00S07),7/19/2022,Partial - Significant Distance,Partial - Significant Distance
M00.2-066-1 (M00S07),8/8/2022,Partial - Significant Distance,Partial - Significant Distance
M01-002-1,NA,NA,Undetermined
M01-003-1,NA,NA,Undetermined
M01-003-2,NA,NA,Undetermined
M01-008-1,7/26/2022,Direct Connection,Direct Connection
M01-008-1,9/15/2022,Direct Connection,Direct Connection
M01-038-3,7/26/2022,Direct Connection,Direct Connection
M01-038-3,9/15/2022,Direct Connection,Direct Connection
M01-038-6,7/26/2022,Direct Connection,Direct Connection
M01-038-6,9/15/2022,Direct Connection,Direct Connection
M01-042-1 (M01S01),6/30/2022,Partial - Significant Distance,Partial - Significant Distance
M01-042-1 (M01S01),9/8/2022,Partial - Significant Distance,Partial - Significant Distance
M01-047-1,6/30/2022,Direct Connection,Direct Connection
M01-047-1,9/8/2022,Direct Connection,Direct Connection
M01-050-4 (M01@CGV),7/26/2022,Direct Connection,Direct Connection
M01-050-4 (M01@CGV),9/15/2022,Direct Connection,Direct Connection
M01-050-4 (M01@CGV),9/15/2022,Direct Connection,Direct Connection
M01-050-7,7/26/2022,None - Flow Infiltrates or Outfall is Dry,Partial - Significant Distance
M01-050-7,9/15/2022,Direct Connection,Partial - Significant Distance
M01-060-3,7/20/2022,Partial - Significant Distance,Direct Connection
M01-060-3,9/28/2022,Direct Connection,Direct Connection
M01-099-1,7/26/2022,Direct Connection,Direct Connection
M01-099-1,9/15/2022,Direct Connection,Direct Connection
M01-124-2,7/26/2022,Direct Connection,Direct Connection
M01-124-2,9/15/2022,Direct Connection,Direct Connection
M01-124-4,7/26/2022,Direct Connection,Partial - Significant Distance
M01-124-4,9/15/2022,Partial - Significant Distance,Partial - Significant Distance
M01-168-1d (M00P03),NA,NA,Undetermined
M01-168-2d (M00P03),NA,NA,Undetermined
M02-013-1,7/26/2022,Undetermined,Undetermined
M02-013-1,8/30/2022,Undetermined,Undetermined
M02-013-1,9/15/2022,Undetermined,Undetermined
M02-015-1,7/20/2022,Undetermined,None - Flow Infiltrates or Outfall is Dry
M02-015-1,8/24/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
M02-028-2 (M02P08),7/26/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
M02-028-2 (M02P08),8/30/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
M02-032-1,6/30/2022,Direct Connection,Direct Connection
M02-032-1,9/8/2022,Direct Connection,Direct Connection
M02-052-2,7/28/2022,Direct Connection,Direct Connection
M02-052-2,9/8/2022,Direct Connection,Direct Connection
M02-052-3,9/8/2022,Direct Connection,Direct Connection
M02-052-3,9/8/2022,Direct Connection,Direct Connection
M02-052-3,7/28/2022,NA,Undetermined
M02-052-4,7/28/2022,Direct Connection,Direct Connection
M02-052-4,9/8/2022,Direct Connection,Direct Connection
M02-052-4,9/8/2022,Direct Connection,Direct Connection
M02-052-4,9/8/2022,Direct Connection,Direct Connection
M02-052-4,9/8/2022,Direct Connection,Direct Connection
M02-061-4 (SCBS@M02),7/20/2022,Direct Connection,Direct Connection
M02-061-4 (SCBS@M02),8/24/2022,Direct Connection,Direct Connection
M02-061-5,7/20/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
M02-061-5,8/24/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
M02-061-6,7/20/2022,Direct Connection,Direct Connection
M02-061-6,8/24/2022,Direct Connection,Direct Connection
M02-061-7,7/20/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
M02-085-1 (M02P06),6/30/2022,Direct Connection,Direct Connection
M02-085-1 (M02P06),9/8/2022,Direct Connection,Direct Connection
M02-085-2,6/30/2022,Direct Connection,Direct Connection
M02-085-2,9/8/2022,Direct Connection,Direct Connection
M02-086-1,7/26/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
M02-086-1,8/30/2022,NA,None - Flow Infiltrates or Outfall is Dry
M02-102-1,7/20/2022,Partial - Significant Distance,Partial - Significant Distance
M02-102-1,9/23/2022,Partial - Significant Distance,Partial - Significant Distance
M02-142-1,7/20/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
M02-142-1,8/24/2022,NA,None - Flow Infiltrates or Outfall is Dry
SC01-077-1,NA,NA,Undetermined
SC01-077-2,NA,NA,Undetermined
SC02-072-1,7/19/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
SC02-072-1,8/30/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
SC02-072-4,NA,NA,Undetermined
SC03-067-1,7/19/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
SC03-067-1,8/30/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
SC05-073-1,7/19/2022,Direct Connection,Direct Connection
SC05-073-3,7/19/2022,Partial - Significant Distance,Direct Connection
SC05-073-3,8/8/2022,Direct Connection,Direct Connection
SC06-146-1 (M00P02),7/19/2022,Partial - Significant Distance,Direct Connection
SC06-146-1 (M00P02),8/8/2022,Direct Connection,Direct Connection
SC06-146-2 (M00P02),7/19/2022,Direct Connection,Direct Connection
SC06-146-2 (M00P02),8/8/2022,Direct Connection,Direct Connection
SC07-079-4,7/20/2022,Direct Connection,Direct Connection
SC07-079-4,9/23/2022,Direct Connection,Direct Connection
SC07-079-5,7/20/2022,Partial - Significant Distance,Partial - Significant Distance
SC07-079-5,9/23/2022,Direct Connection,Partial - Significant Distance
SC09-081-2d,NA,NA,Undetermined
SC10-075-1 (M00P05),7/12/2022,Partial - Significant Distance,Partial - Significant Distance
SC10-075-1 (M00P05),9/23/2022,Direct Connection,Partial - Significant Distance
SC10-075-3 (M00S01),NA,NA,Undetermined
SC11-026-1 (M00P01),7/12/2022,None - Flow Infiltrates or Outfall is Dry,Partial - Significant Distance
SC11-026-1 (M00P01),9/23/2022,Partial - Significant Distance,Partial - Significant Distance
SC11-035-1d,7/12/2022,NA,Undetermined
SC11-035-1d,9/23/2022,NA,Undetermined
SC11-035-2d,7/12/2022,None - Flow Infiltrates or Outfall is Dry,Partial - Significant Distance
SC11-035-2d,9/23/2022,Partial - Significant Distance,Partial - Significant Distance
SC11-035-3d,7/12/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
SC11-035-3d,9/23/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
SC11-130-2,9/23/2022,Partial - Significant Distance,Partial - Significant Distance
SC11-130-2,7/12/2022,NA,Partial - Significant Distance
SC12-068-2,7/19/2022,Partial - Significant Distance,Partial - Significant Distance
SC12-068-2,9/23/2022,Partial - Significant Distance,Partial - Significant Distance
SC12-068-4,7/19/2022,Partial - Significant Distance,Partial - Significant Distance
SC12-068-4,8/8/2022,None - Flow Infiltrates or Outfall is Dry,Partial - Significant Distance
SM01-086-1 (M03P01),7/26/2022,Undetermined,Undetermined
SM01-086-1 (M03P01),9/15/2022,Undetermined,Undetermined
SM01-086-2,7/26/2022,Undetermined,Undetermined
SM01-086-2,9/15/2022,Undetermined,Undetermined
