FacilityID,Date,FlowConnectivity,FlowCondition,PersistentFlow,SampleDry,FloatDischargeCFS,VolumeDischargeCFS,rain_gage,wet_within_72,GlobalID,QInscfs,MonitoringYear
DP01-12022-1,2022-07-12,Direct Connection,Flowing,Yes,,NA,NA,DANAPOINT,FALSE,{2930B26A-DE4C-4E36-8E9D-20B5B8F77DA9},NA,MY2021-22
DP04-12015-1,2022-07-05,None - Flow Infiltrates or Outfall is Dry,Flowing,Unknown,,NA,NA,LAGUNABEACH,FALSE,{B9E368D1-0601-4D99-B7EE-076F034D1D23},NA,MY2021-22
DP04-12015-1,2022-09-01,None - Flow Infiltrates or Outfall is Dry,Flowing,Unknown,,NA,NA,LAGUNABEACH,FALSE,{B9E368D1-0601-4D99-B7EE-076F034D1D23},NA,MY2021-22
DP06-12106-1,2022-07-12,Partial - Significant Distance,Pooled or Ponded,Yes,,NA,NA,DANAPOINT,FALSE,{FA96D381-A5FA-4EF8-9755-46E6C80C3DBB},NA,MY2021-22
I00-11437-1,2022-06-21,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,Yes,NA,NA,LAGUNABEACH,FALSE,{0D61E2AD-DA3C-4EE6-AD1B-32E44854CAA2},NA,MY2021-22
I00-11437-1,2022-09-07,Undetermined,Pooled or Ponded,Yes,Yes,NA,NA,LAGUNABEACH,FALSE,{0D61E2AD-DA3C-4EE6-AD1B-32E44854CAA2},NA,MY2021-22
I00-11518-1,2022-07-05,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Unknown,,NA,NA,LAGUNABEACH,FALSE,{77142EB8-ED5A-457E-A15B-0DA4FE92CCF2},NA,MY2021-22
I00-11518-2,2022-07-05,Direct Connection,Flowing,Yes,,NA,NA,LAGUNABEACH,FALSE,{43927D34-5C8D-480F-9527-A565DA0C7C0C},NA,MY2021-22
I01-11023-1,2022-06-21,Direct Connection,Pooled or Ponded,Yes,Yes,NA,NA,LAGUNABEACH,FALSE,{EC705F4A-8057-41AB-99F6-CDD22A7AEEDC},NA,MY2021-22
I01-11023-1,2022-09-07,Direct Connection,Flowing,Yes,Yes,NA,NA,LAGUNABEACH,FALSE,{EC705F4A-8057-41AB-99F6-CDD22A7AEEDC},NA,MY2021-22
I01-11216-1 (I02P13),2022-06-28,Undetermined,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{407CFB17-3B6F-4280-9700-B0FD229A0C5E},NA,MY2021-22
I01-11216-1 (I02P13),2022-09-14,Undetermined,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{407CFB17-3B6F-4280-9700-B0FD229A0C5E},NA,MY2021-22
I01-11216-2 (I02P12),2022-09-14,Undetermined,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{3E6152B4-AA12-4483-A315-F2A09982301C},NA,MY2021-22
I01-11216-3,2022-06-28,Undetermined,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{DB80E054-4D2C-4D53-8065-26F13D35FE95},NA,MY2021-22
I01-11216-3,2022-09-14,Undetermined,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{DB80E054-4D2C-4D53-8065-26F13D35FE95},NA,MY2021-22
I01-11216-4 (I02P14),2022-06-28,Undetermined,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{BD8B9607-5DAE-4D8D-9B8E-9B2DC1C2A8C1},NA,MY2021-22
I01-11216-4 (I02P14),2022-09-14,Undetermined,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{BD8B9607-5DAE-4D8D-9B8E-9B2DC1C2A8C1},NA,MY2021-22
I01-11217-1,2022-09-14,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Unknown,,NA,NA,ELTORO,FALSE,{6731B5BE-BAEC-490D-90D1-2CBFABE191C3},NA,MY2021-22
I01-11343-1,2022-06-14,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,Yes,NA,NA,ELTORO,FALSE,{2889E41D-D4E7-47BA-843A-5A6D17AF80DF},NA,MY2021-22
I01-11343-1,2022-08-23,Undetermined,Pooled or Ponded,Yes,Yes,NA,NA,ELTORO,FALSE,{2889E41D-D4E7-47BA-843A-5A6D17AF80DF},NA,MY2021-22
I01-11487-1,2022-07-05,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Unknown,,NA,NA,LAGUNABEACH,FALSE,{5950041F-4A9F-49ED-994B-C50CD46C105C},NA,MY2021-22
I01-11487-1,2022-08-16,Partial - Significant Distance,Pooled or Ponded,Unknown,,NA,NA,LAGUNABEACH,FALSE,{5950041F-4A9F-49ED-994B-C50CD46C105C},NA,MY2021-22
I01-11487-2,2022-07-05,Partial - Significant Distance,Pooled or Ponded,Unknown,,NA,NA,LAGUNABEACH,FALSE,{04035718-9418-4D9D-BE25-7FB1C35BC0A0},NA,MY2021-22
I01-11487-2,2022-08-16,Partial - Significant Distance,Pooled or Ponded,Unknown,,NA,NA,LAGUNABEACH,FALSE,{04035718-9418-4D9D-BE25-7FB1C35BC0A0},NA,MY2021-22
I01-11503-3,2022-06-28,Partial - Significant Distance,Pooled or Ponded,Yes,,NA,NA,LAGUNABEACH,FALSE,{8617AFA3-52A5-463C-8916-03BC38AAFBC4},NA,MY2021-22
I01-11503-3,2022-09-14,Partial - Significant Distance,Pooled or Ponded,Yes,,NA,NA,LAGUNABEACH,FALSE,{8617AFA3-52A5-463C-8916-03BC38AAFBC4},NA,MY2021-22
I01-11503-5,2022-06-28,Direct Connection,Pooled or Ponded,Unknown,,NA,NA,LAGUNABEACH,FALSE,{CEFC14D7-9ED9-43A9-BA53-748978BC75CB},NA,MY2021-22
I01-11503-5,2022-09-14,Direct Connection,Pooled or Ponded,Unknown,,NA,NA,LAGUNABEACH,FALSE,{CEFC14D7-9ED9-43A9-BA53-748978BC75CB},NA,MY2021-22
J01-10004-2,2022-06-21,Partial - Significant Distance,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{FC0A0575-4F9F-4F48-92CC-AA2CA9B5047D},NA,MY2021-22
J01-10004-2,2022-08-18,Partial - Significant Distance,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{FC0A0575-4F9F-4F48-92CC-AA2CA9B5047D},NA,MY2021-22
J01-10006-1,2022-06-21,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{F79CDE56-859F-4A33-BFA7-8A7FFBF9055A},NA,MY2021-22
J01-10006-1,2022-08-09,Direct Connection,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{F79CDE56-859F-4A33-BFA7-8A7FFBF9055A},NA,MY2021-22
J01-10041-2 (J03P13),2022-06-28,Partial - Significant Distance,Pooled or Ponded,Yes,,NA,NA,SULPHURCREEK,FALSE,{30268716-5276-44DF-9485-87949570FB12},NA,MY2021-22
J01-9005-3,2022-07-08,Direct Connection,Flowing,Yes,,NA,NA,SULPHURCREEK,FALSE,{8D0A255A-DAB2-4BAC-A4E1-414D7DD8EA41},NA,MY2021-22
J01-9031-1,2022-06-21,Partial - Significant Distance,Pooled or Ponded,Unknown,Yes,NA,NA,TUCKER,FALSE,{845D0596-F79C-47AB-8A96-2BF5F46A5F2D},NA,MY2021-22
J01-9031-1,2022-08-18,Partial - Significant Distance,Other - See Comments,Unknown,Yes,NA,NA,TUCKER,FALSE,{845D0596-F79C-47AB-8A96-2BF5F46A5F2D},NA,MY2021-22
J01-9040-1,2022-04-14,Direct Connection,Pooled or Ponded,Yes,,NA,NA,TUCKER,FALSE,{7E5CB88D-6665-452A-804A-655CBEAB830F},NA,MY2021-22
J01-9040-1,2022-04-21,Direct Connection,Pooled or Ponded,Yes,,NA,NA,TUCKER,FALSE,{7E5CB88D-6665-452A-804A-655CBEAB830F},NA,MY2021-22
J01-9040-1,2022-05-19,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,,NA,NA,TUCKER,FALSE,{7E5CB88D-6665-452A-804A-655CBEAB830F},NA,MY2021-22
J01-9046-1,2022-06-21,Direct Connection,Pooled or Ponded,Unknown,,NA,NA,ELTORO,FALSE,{7B37BD5E-90A3-4DC7-8721-402EFF48BB71},NA,MY2021-22
J01-9046-2,2022-06-21,Direct Connection,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{2E617AF1-4DE3-4D23-81BF-39FAD4E9D040},NA,MY2021-22
J01-9046-2,2022-08-18,Direct Connection,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{2E617AF1-4DE3-4D23-81BF-39FAD4E9D040},NA,MY2021-22
J01-9066-2 (J01P03),2022-06-21,Direct Connection,Flowing,Yes,,NA,NA,ELTORO,FALSE,{F7A1B2B3-02A7-4B84-A84B-A6BA19C83F0B},NA,MY2021-22
J01-9144-4 (J01P26),2022-07-13,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,,NA,NA,SULPHURCREEK,FALSE,{55C07C97-F5A8-4AD9-BDD6-F282EF1F22F5},NA,MY2021-22
J01-9144-4 (J01P26),2022-08-31,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,,NA,NA,SULPHURCREEK,FALSE,{55C07C97-F5A8-4AD9-BDD6-F282EF1F22F5},NA,MY2021-22
J01-9224-1 (J01P24),2022-07-13,Direct Connection,Pooled or Ponded,Yes,Yes,NA,NA,SULPHURCREEK,FALSE,{0066DC99-7D9F-42BE-ABDB-C06A68E52A0F},NA,MY2021-22
J01-9224-2 (J01P25),2022-06-15,Direct Connection,Flowing,Yes,Yes,NA,NA,SULPHURCREEK,FALSE,{7BFD7882-593A-4F10-AAF7-CC4B57726763},NA,MY2021-22
J01-9224-2 (J01P25),2022-07-13,Direct Connection,Flowing,Yes,Yes,NA,NA,SULPHURCREEK,FALSE,{7BFD7882-593A-4F10-AAF7-CC4B57726763},NA,MY2021-22
J01-9259-3,2022-06-21,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{E9D08FC2-7F70-4A86-8EF6-2A8BE2A5E6F4},NA,MY2021-22
J01-9264-1 (J01P06),2022-06-30,Partial - Significant Distance,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{86AB9BCD-9766-418C-889A-A078524BE271},NA,MY2021-22
J01-9264-1 (J01P06),2022-09-21,Partial - Significant Distance,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{86AB9BCD-9766-418C-889A-A078524BE271},NA,MY2021-22
J01-9273-1,2022-06-14,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,Yes,NA,NA,ELTORO,FALSE,{1B614B52-1204-4A36-9937-3895C916CE39},NA,MY2021-22
J01-9273-1,2022-07-01,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,Yes,NA,NA,ELTORO,FALSE,{1B614B52-1204-4A36-9937-3895C916CE39},NA,MY2021-22
J01-9273-1,2022-08-23,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,Yes,NA,NA,ELTORO,FALSE,{1B614B52-1204-4A36-9937-3895C916CE39},NA,MY2021-22
J01-9349-1,2022-06-21,Direct Connection,Pooled or Ponded,Unknown,Yes,NA,NA,ELTORO,FALSE,{0C4B2C1F-221A-4822-9ED8-4F1AF591803F},NA,MY2021-22
J01-9349-1,2022-08-18,Direct Connection,Pooled or Ponded,Unknown,Yes,NA,NA,ELTORO,FALSE,{0C4B2C1F-221A-4822-9ED8-4F1AF591803F},NA,MY2021-22
J01-9364-3 (J01P21),2022-06-28,Direct Connection,Pooled or Ponded,Yes,,NA,NA,SULPHURCREEK,FALSE,{45DC9F7E-3DD3-44F6-A4A9-350A8C32653C},NA,MY2021-22
J01-9364-3 (J01P21),2022-07-08,Direct Connection,Pooled or Ponded,Yes,,NA,NA,SULPHURCREEK,FALSE,{45DC9F7E-3DD3-44F6-A4A9-350A8C32653C},NA,MY2021-22
J01-9377-1,2022-06-21,Direct Connection,Pooled or Ponded,Unknown,Yes,NA,NA,ELTORO,FALSE,{3B4E9F27-523C-4F6B-A986-26E060B631EF},NA,MY2021-22
J01-9782-1 (J01TBN3),2022-06-21,Direct Connection,Pooled or Ponded,Unknown,,NA,NA,ELTORO,FALSE,{91E48869-6AD5-41B7-8A9B-640ED2238B02},NA,MY2021-22
J01-9785-1,2022-09-14,Direct Connection,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{91338D15-19F3-4699-83FA-4C17B2C07214},NA,MY2021-22
J03-9215-1,2022-06-23,Direct Connection,Pooled or Ponded,Yes,,NA,NA,SULPHURCREEK,FALSE,{58BF1710-6532-44A0-A4C2-487B6E14647C},NA,MY2021-22
J03-9215-1,2022-08-04,Direct Connection,Pooled or Ponded,Yes,,NA,NA,SULPHURCREEK,FALSE,{58BF1710-6532-44A0-A4C2-487B6E14647C},NA,MY2021-22
J03-9216-1 (J03P01),2022-07-06,Direct Connection,Pooled or Ponded,Yes,,NA,NA,SULPHURCREEK,FALSE,{B312B909-A14D-4AAA-BB21-74D113055A73},NA,MY2021-22
J03-9216-1 (J03P01),2022-07-08,Direct Connection,Flowing,Yes,,NA,NA,SULPHURCREEK,FALSE,{B312B909-A14D-4AAA-BB21-74D113055A73},NA,MY2021-22
J03-9216-1 (J03P01),2022-08-04,Direct Connection,Pooled or Ponded,Yes,,NA,NA,SULPHURCREEK,FALSE,{B312B909-A14D-4AAA-BB21-74D113055A73},NA,MY2021-22
J03-9216-5,2022-08-04,Partial - Significant Distance,Pooled or Ponded,Yes,,NA,NA,SULPHURCREEK,FALSE,{17A4B537-06CB-4914-A505-354A1A88B51B},NA,MY2021-22
J03-9234-5,2022-07-06,Direct Connection,Flowing,Yes,,NA,NA,SULPHURCREEK,FALSE,{0C213075-F3BE-4202-976F-D3228FB0F4F4},NA,MY2021-22
J03-9234-8,2022-07-06,Partial - Significant Distance,Pooled or Ponded,Yes,,NA,NA,SULPHURCREEK,FALSE,{8BA658D6-F310-40D7-B7B1-E1E606ACD5A0},NA,MY2021-22
J03-9368-2 (J03TBN2),2022-07-06,Direct Connection,Flowing,Yes,,NA,NA,SULPHURCREEK,FALSE,{1C987AEE-54C0-42B5-B602-B59EEAD42C2F},NA,MY2021-22
J04-9249-1,2022-07-08,Direct Connection,Pooled or Ponded,Yes,,NA,NA,SULPHURCREEK,FALSE,{43A0D628-01FD-445E-A64B-B954122259BC},NA,MY2021-22
J05-9255-1 (J05P01),2022-08-02,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,,NA,NA,SULPHURCREEK,FALSE,{E4A45859-C01A-4CBC-8954-294275402A42},NA,MY2021-22
J05-9255-1 (J05P01),2022-09-21,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,,NA,NA,SULPHURCREEK,FALSE,{E4A45859-C01A-4CBC-8954-294275402A42},NA,MY2021-22
J05-9271-6,2022-08-02,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Unknown,,NA,NA,SULPHURCREEK,FALSE,{9F5547EB-7FE3-461F-9EBD-E58B4219028B},NA,MY2021-22
J07-9022-1,2022-06-21,Direct Connection,Flowing,Yes,,NA,NA,ELTORO,FALSE,{02D8D354-0554-49DF-972A-8BC374B3901B},NA,MY2021-22
J07-9109-1,2022-06-21,Partial - Significant Distance,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{3908761B-6044-44D9-8A7D-054C86F6D560},NA,MY2021-22
J07-9109-1,2022-08-09,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{3908761B-6044-44D9-8A7D-054C86F6D560},NA,MY2021-22
J07-9109-2,2022-06-21,Partial - Significant Distance,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{728A2E3D-7087-4CD0-B654-7272B31DFBFB},NA,MY2021-22
J07-9109-2,2022-08-09,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{728A2E3D-7087-4CD0-B654-7272B31DFBFB},NA,MY2021-22
J07-9110-2,2022-08-09,Direct Connection,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{E0B5BFB0-FF67-482C-B2DA-0715F995C4FF},NA,MY2021-22
J07-9110-3,2022-06-21,Partial - Significant Distance,Pooled or Ponded,Unknown,,NA,NA,ELTORO,FALSE,{07F87B16-7752-4E0E-8F95-EF62C174A7F6},NA,MY2021-22
K01-12036-5,2022-08-31,Undetermined,Flowing,Yes,,NA,NA,SULPHURCREEK,FALSE,{70D2A74D-50ED-4574-A929-01CB7DE7D000},NA,MY2021-22
K01-12155-1,2022-07-06,Undetermined,Pooled or Ponded,Unknown,,NA,NA,DANAPOINT,FALSE,{EBDB95ED-DC08-4DB5-AB03-DFC2113EF527},NA,MY2021-22
K01-12155-5,2022-07-06,Undetermined,Flowing,Unknown,,NA,NA,SULPHURCREEK,FALSE,{F833764D-81C4-470D-A336-B65195ACDDC4},NA,MY2021-22
K01-12155-5,2022-08-31,Undetermined,Other - See Comments,Unknown,,NA,NA,SULPHURCREEK,FALSE,{F833764D-81C4-470D-A336-B65195ACDDC4},NA,MY2021-22
K01-12156-6,2022-08-18,Direct Connection,Flowing,Yes,,NA,NA,DANAPOINT,FALSE,{6FB4B9E1-BF9D-41E3-9F3C-703D525B54CD},NA,MY2021-22
L01-125-1,2022-07-28,Undetermined,Pooled or Ponded,Yes,,NA,NA,TRABUCO,FALSE,{5903AEF4-DE41-446D-A41A-D3014DC8AD95},NA,MY2021-22
L01-125-1,2022-09-20,Undetermined,Pooled or Ponded,Yes,,NA,NA,TRABUCO,FALSE,{5903AEF4-DE41-446D-A41A-D3014DC8AD95},NA,MY2021-22
L01-125-2,2022-07-28,Undetermined,Pooled or Ponded,Yes,,NA,NA,TRABUCO,FALSE,{DD113CF9-A134-4437-879D-CFE4C8EED772},NA,MY2021-22
L01-125-2,2022-09-20,Undetermined,Pooled or Ponded,Yes,,NA,NA,TRABUCO,FALSE,{DD113CF9-A134-4437-879D-CFE4C8EED772},NA,MY2021-22
L01-125-3,2022-07-28,Undetermined,Flowing,Yes,,NA,NA,TRABUCO,FALSE,{33F2DC65-D927-4563-A681-F329D3F84B4B},NA,MY2021-22
L01-125-3,2022-09-20,Undetermined,Pooled or Ponded,Yes,,NA,NA,TRABUCO,FALSE,{33F2DC65-D927-4563-A681-F329D3F84B4B},NA,MY2021-22
L01-218-3,2022-07-26,Undetermined,Pooled or Ponded,Yes,,NA,NA,TRABUCO,FALSE,{25F85F71-7FE3-41F6-8378-9EEFE4D6A956},NA,MY2021-22
L01-242-1 (L07P16),2022-08-08,Direct Connection,Pooled or Ponded,Yes,,NA,NA,TRABUCO,FALSE,{05755366-E1F2-43BB-A1D6-AC836A44F681},NA,MY2021-22
L01-242-1 (L07P16),2022-09-19,Direct Connection,Pooled or Ponded,Yes,,NA,NA,TRABUCO,FALSE,{05755366-E1F2-43BB-A1D6-AC836A44F681},NA,MY2021-22
L01-303-2,2022-08-08,Direct Connection,Pooled or Ponded,Yes,,NA,NA,TRABUCO,FALSE,{DAFC646C-2E59-4F16-8AFD-87B9CAE3A703},NA,MY2021-22
L01-303-2,2022-09-19,Direct Connection,Pooled or Ponded,Yes,,NA,NA,TRABUCO,FALSE,{DAFC646C-2E59-4F16-8AFD-87B9CAE3A703},NA,MY2021-22
L01-303-3,2022-08-01,Partial - Significant Distance,Pooled or Ponded,Yes,,NA,NA,TRABUCO,FALSE,{688139FB-EB67-42AA-848F-C55BF48E6B28},NA,MY2021-22
L01-303-3,2022-09-26,Partial - Significant Distance,Pooled or Ponded,Yes,,NA,NA,TRABUCO,FALSE,{688139FB-EB67-42AA-848F-C55BF48E6B28},NA,MY2021-22
L01-335-2,2022-06-17,Direct Connection,Pooled or Ponded,Unknown,,NA,NA,TRABUCO,FALSE,{65AC036E-2F1F-4616-A08A-A4E7B1D38A11},NA,MY2021-22
L01-391-1,2022-08-01,Direct Connection,Pooled or Ponded,Yes,,NA,NA,TRABUCO,FALSE,{6ACA9BF4-266E-4C31-8EE3-75E5E450E45E},NA,MY2021-22
L01-391-1,2022-09-19,Direct Connection,Pooled or Ponded,Yes,,NA,NA,TRABUCO,FALSE,{6ACA9BF4-266E-4C31-8EE3-75E5E450E45E},NA,MY2021-22
L01-414-1,2022-09-19,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,,NA,NA,TRABUCO,FALSE,{68338A6C-A350-4B2E-90E5-C3AA59C3D9A8},NA,MY2021-22
L01-414-3,2022-08-24,Undetermined,Pooled or Ponded,Yes,,NA,NA,TRABUCO,FALSE,{834FBB7A-F243-4A65-80C6-AE688690CC0C},NA,MY2021-22
L01-458-1,2022-05-31,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Unknown,,NA,NA,PALISADES,FALSE,{12B3B591-46D7-4C09-AEF9-0205FDAAC85B},NA,MY2021-22
L01-514-1,2022-06-17,Undetermined,Pooled or Ponded,Yes,,NA,NA,PALISADES,FALSE,{7A6C6799-AB04-4589-9958-5C84F3951CFC},NA,MY2021-22
L01-517-3,2022-05-31,Undetermined,Pooled or Ponded,Yes,,NA,NA,PALISADES,FALSE,{6F4B7E90-A083-4289-A5D6-7E68F3E03AB8},NA,MY2021-22
L01-517-3,2022-09-27,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,,NA,NA,PALISADES,FALSE,{6F4B7E90-A083-4289-A5D6-7E68F3E03AB8},NA,MY2021-22
L01-556-1,2022-07-28,Undetermined,Pooled or Ponded,Yes,,NA,NA,PALISADES,FALSE,{4FE0C734-3649-4717-871F-7A7EB924A050},NA,MY2021-22
L01-602-2,2022-08-10,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,,NA,NA,PALISADES,FALSE,{99C5D60F-3F09-4BFF-AE19-4319471F81EF},NA,MY2021-22
L01-618-1,2022-07-28,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,,NA,NA,PALISADES,FALSE,{6BB44A0A-D350-479C-9FC0-20CB027EB52D},NA,MY2021-22
L01-618-1,2022-08-10,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,,NA,NA,PALISADES,FALSE,{6BB44A0A-D350-479C-9FC0-20CB027EB52D},NA,MY2021-22
