JURISDICTI3,Sample Type,Parameter,ResultJuris,Units
ORANGE CO,Total,"Nickel, Total",29.211111111111112,ug/L
ORANGE CO,Dissolved,"Nickel, Total",29.211111111111112,ug/L
LAGUNA HILLS,Total,"Nickel, Total",4.2,ug/L
LAKE FOREST,Total,"Nickel, Total",2.97,ug/L
LAGUNA HILLS,Dissolved,"Nickel, Total",4.2,ug/L
LAKE FOREST,Dissolved,"Nickel, Total",2.97,ug/L
LAGUNA BEACH,Total,"Nickel, Total",2.2,ug/L
LAGUNA BEACH,Dissolved,"Nickel, Total",2.2,ug/L
SAN JUAN CAPISTRANO,Total,"Nickel, Total",3.4937500000000004,ug/L
DANA POINT,Total,"Nickel, Total",9.467857142857143,ug/L
SAN JUAN CAPISTRANO,Dissolved,"Nickel, Total",3.4937500000000004,ug/L
DANA POINT,Dissolved,"Nickel, Total",9.467857142857143,ug/L
SAN CLEMENTE,Total,"Nickel, Total",490.99375,ug/L
SAN CLEMENTE,Dissolved,"Nickel, Total",490.99375,ug/L
MISSION VIEJO,Total,"Selenium, Total",16.795833333333334,ug/L
LAGUNA WOODS,Total,"Selenium, Total",4.3725,ug/L
MISSION VIEJO,Dissolved,"Selenium, Total",16.795833333333334,ug/L
LAGUNA WOODS,Dissolved,"Selenium, Total",4.3725,ug/L
LAGUNA NIGUEL,Total,"Selenium, Total",5.34375,ug/L
ALISO VIEJO,Total,"Selenium, Total",9.7625,ug/L
LAGUNA NIGUEL,Dissolved,"Selenium, Total",5.34375,ug/L
ALISO VIEJO,Dissolved,"Selenium, Total",9.7625,ug/L
RANCHO SANTA MARGARITA,Total,"Selenium, Total",5.459375,ug/L
RANCHO SANTA MARGARITA,Dissolved,"Selenium, Total",5.459375,ug/L
ORANGE CO,Total,"Selenium, Total",6.932666666666667,ug/L
ORANGE CO,Dissolved,"Selenium, Total",6.932666666666667,ug/L
LAGUNA HILLS,Total,"Selenium, Total",7.55,ug/L
LAKE FOREST,Total,"Selenium, Total",5.3125,ug/L
LAGUNA HILLS,Dissolved,"Selenium, Total",7.55,ug/L
LAKE FOREST,Dissolved,"Selenium, Total",5.3125,ug/L
LAGUNA BEACH,Total,"Selenium, Total",1.9625,ug/L
LAGUNA BEACH,Dissolved,"Selenium, Total",1.9625,ug/L
SAN JUAN CAPISTRANO,Total,"Selenium, Total",6.00625,ug/L
DANA POINT,Total,"Selenium, Total",4.227142857142857,ug/L
SAN JUAN CAPISTRANO,Dissolved,"Selenium, Total",6.00625,ug/L
DANA POINT,Dissolved,"Selenium, Total",4.227142857142857,ug/L
SAN CLEMENTE,Total,"Selenium, Total",7.11875,ug/L
SAN CLEMENTE,Dissolved,"Selenium, Total",7.11875,ug/L
MISSION VIEJO,Total,"Silver, Total",0.1,ug/L
LAGUNA WOODS,Total,"Silver, Total",0.1,ug/L
MISSION VIEJO,Dissolved,"Silver, Total",0.1,ug/L
LAGUNA WOODS,Dissolved,"Silver, Total",0.1,ug/L
LAGUNA NIGUEL,Total,"Silver, Total",0.1,ug/L
ALISO VIEJO,Total,"Silver, Total",0.1,ug/L
LAGUNA NIGUEL,Dissolved,"Silver, Total",0.1,ug/L
ALISO VIEJO,Dissolved,"Silver, Total",0.1,ug/L
RANCHO SANTA MARGARITA,Total,"Silver, Total",0.1,ug/L
RANCHO SANTA MARGARITA,Dissolved,"Silver, Total",0.1,ug/L
ORANGE CO,Total,"Silver, Total",0.1,ug/L
ORANGE CO,Dissolved,"Silver, Total",0.1,ug/L
LAGUNA HILLS,Total,"Silver, Total",0.1,ug/L
LAKE FOREST,Total,"Silver, Total",0.1,ug/L
LAGUNA HILLS,Dissolved,"Silver, Total",0.1,ug/L
LAKE FOREST,Dissolved,"Silver, Total",0.1,ug/L
LAGUNA BEACH,Total,"Silver, Total",0.1,ug/L
LAGUNA BEACH,Dissolved,"Silver, Total",0.1,ug/L
SAN JUAN CAPISTRANO,Total,"Silver, Total",0.1,ug/L
DANA POINT,Total,"Silver, Total",0.1,ug/L
SAN JUAN CAPISTRANO,Dissolved,"Silver, Total",0.1,ug/L
DANA POINT,Dissolved,"Silver, Total",0.1,ug/L
SAN CLEMENTE,Total,"Silver, Total",0.1,ug/L
SAN CLEMENTE,Dissolved,"Silver, Total",0.1,ug/L
MISSION VIEJO,Total,"Thallium, Total",0.13428571428571429,ug/L
LAGUNA WOODS,Total,"Thallium, Total",0.1,ug/L
MISSION VIEJO,Dissolved,"Thallium, Total",0.13428571428571429,ug/L
LAGUNA WOODS,Dissolved,"Thallium, Total",0.1,ug/L
LAGUNA NIGUEL,Total,"Thallium, Total",0.1,ug/L
ALISO VIEJO,Total,"Thallium, Total",0.1,ug/L
LAGUNA NIGUEL,Dissolved,"Thallium, Total",0.1,ug/L
ALISO VIEJO,Dissolved,"Thallium, Total",0.1,ug/L
RANCHO SANTA MARGARITA,Total,"Thallium, Total",0.13470588235294118,ug/L
RANCHO SANTA MARGARITA,Dissolved,"Thallium, Total",0.13470588235294118,ug/L
ORANGE CO,Total,"Thallium, Total",0.11838709677419355,ug/L
ORANGE CO,Dissolved,"Thallium, Total",0.11838709677419355,ug/L
LAGUNA HILLS,Total,"Thallium, Total",0.1,ug/L
LAKE FOREST,Total,"Thallium, Total",0.1,ug/L
LAGUNA HILLS,Dissolved,"Thallium, Total",0.1,ug/L
LAKE FOREST,Dissolved,"Thallium, Total",0.1,ug/L
LAGUNA BEACH,Total,"Thallium, Total",0.1,ug/L
LAGUNA BEACH,Dissolved,"Thallium, Total",0.1,ug/L
SAN JUAN CAPISTRANO,Total,"Thallium, Total",0.1,ug/L
DANA POINT,Total,"Thallium, Total",0.1,ug/L
SAN JUAN CAPISTRANO,Dissolved,"Thallium, Total",0.1,ug/L
DANA POINT,Dissolved,"Thallium, Total",0.1,ug/L
SAN CLEMENTE,Total,"Thallium, Total",0.16363636363636364,ug/L
SAN CLEMENTE,Dissolved,"Thallium, Total",0.16363636363636364,ug/L
MISSION VIEJO,Total,Total Organic Carbon (TOC),8.475,mg/L
LAGUNA WOODS,Total,Total Organic Carbon (TOC),22.55,mg/L
LAGUNA NIGUEL,Total,Total Organic Carbon (TOC),7.20625,mg/L
ALISO VIEJO,Total,Total Organic Carbon (TOC),8.5375,mg/L
RANCHO SANTA MARGARITA,Total,Total Organic Carbon (TOC),9.178571428571429,mg/L
ORANGE CO,Total,Total Organic Carbon (TOC),8.896428571428572,mg/L
LAGUNA HILLS,Total,Total Organic Carbon (TOC),3.5999999999999996,mg/L
LAKE FOREST,Total,Total Organic Carbon (TOC),4.75,mg/L
LAGUNA BEACH,Total,Total Organic Carbon (TOC),6.125,mg/L
SAN JUAN CAPISTRANO,Total,Total Organic Carbon (TOC),8.525,mg/L
DANA POINT,Total,Total Organic Carbon (TOC),8.2,mg/L
SAN CLEMENTE,Total,Total Organic Carbon (TOC),14.25,mg/L
MISSION VIEJO,Total,"Zinc, Total",12.3,ug/L
LAGUNA WOODS,Total,"Zinc, Total",12.833333333333334,ug/L
MISSION VIEJO,Dissolved,"Zinc, Total",12.3,ug/L
LAGUNA WOODS,Dissolved,"Zinc, Total",12.833333333333334,ug/L
LAGUNA NIGUEL,Total,"Zinc, Total",11.617647058823529,ug/L
ALISO VIEJO,Total,"Zinc, Total",24.047619047619047,ug/L
LAGUNA NIGUEL,Dissolved,"Zinc, Total",11.617647058823529,ug/L
ALISO VIEJO,Dissolved,"Zinc, Total",24.047619047619047,ug/L
RANCHO SANTA MARGARITA,Total,"Zinc, Total",10.428571428571429,ug/L
RANCHO SANTA MARGARITA,Dissolved,"Zinc, Total",10.428571428571429,ug/L
ORANGE CO,Total,"Zinc, Total",12.5,ug/L
ORANGE CO,Dissolved,"Zinc, Total",12.5,ug/L
LAGUNA HILLS,Total,"Zinc, Total",7.75,ug/L
LAKE FOREST,Total,"Zinc, Total",8,ug/L
LAGUNA HILLS,Dissolved,"Zinc, Total",7.75,ug/L
LAKE FOREST,Dissolved,"Zinc, Total",8,ug/L
LAGUNA BEACH,Total,"Zinc, Total",5,ug/L
LAGUNA BEACH,Dissolved,"Zinc, Total",5,ug/L
SAN JUAN CAPISTRANO,Total,"Zinc, Total",8.25,ug/L
DANA POINT,Total,"Zinc, Total",10.035714285714286,ug/L
SAN JUAN CAPISTRANO,Dissolved,"Zinc, Total",8.25,ug/L
DANA POINT,Dissolved,"Zinc, Total",10.035714285714286,ug/L
SAN CLEMENTE,Total,"Zinc, Total",114.0909090909091,ug/L
SAN CLEMENTE,Dissolved,"Zinc, Total",114.0909090909091,ug/L
MISSION VIEJO,Total,"Ammonia, as Nitrogen",0.165,mg/L
LAGUNA WOODS,Total,"Ammonia, as Nitrogen",0.21666666666666667,mg/L
LAGUNA NIGUEL,Total,"Ammonia, as Nitrogen",0.19153846153846155,mg/L
ALISO VIEJO,Total,"Ammonia, as Nitrogen",0.835,mg/L
RANCHO SANTA MARGARITA,Total,"Ammonia, as Nitrogen",0.19625,mg/L
ORANGE CO,Total,"Ammonia, as Nitrogen",0.6338888888888888,mg/L
LAGUNA HILLS,Total,"Ammonia, as Nitrogen",0.08,mg/L
LAKE FOREST,Total,"Ammonia, as Nitrogen",0.07,mg/L
LAGUNA BEACH,Total,"Ammonia, as Nitrogen",0.05,mg/L
SAN JUAN CAPISTRANO,Total,"Ammonia, as Nitrogen",0.13666666666666666,mg/L
DANA POINT,Total,"Ammonia, as Nitrogen",0.19428571428571428,mg/L
SAN CLEMENTE,Total,"Ammonia, as Nitrogen",0.54,mg/L
MISSION VIEJO,Total,Chloride,405.8333333333333,mg/L
LAGUNA WOODS,Total,Chloride,495,mg/L
LAGUNA NIGUEL,Total,Chloride,550,mg/L
ALISO VIEJO,Total,Chloride,358.75,mg/L
RANCHO SANTA MARGARITA,Total,Chloride,232.85714285714286,mg/L
ORANGE CO,Total,Chloride,453.92857142857144,mg/L
LAGUNA HILLS,Total,Chloride,485,mg/L
LAKE FOREST,Total,Chloride,375,mg/L
LAGUNA BEACH,Total,Chloride,1562.5,mg/L
SAN JUAN CAPISTRANO,Total,Chloride,538.75,mg/L
DANA POINT,Total,Chloride,629.1666666666666,mg/L
SAN CLEMENTE,Total,Chloride,955,mg/L
MISSION VIEJO,Total,Nitrate + Nitrite as N,2.3333333333333335,mg/L
LAGUNA WOODS,Total,Nitrate + Nitrite as N,7.225,mg/L
LAGUNA NIGUEL,Total,Nitrate + Nitrite as N,2.553125,mg/L
ALISO VIEJO,Total,Nitrate + Nitrite as N,5.791875,mg/L
RANCHO SANTA MARGARITA,Total,Nitrate + Nitrite as N,1.3192857142857144,mg/L
ORANGE CO,Total,Nitrate + Nitrite as N,3.125714285714286,mg/L
LAGUNA HILLS,Total,Nitrate + Nitrite as N,1.5,mg/L
LAKE FOREST,Total,Nitrate + Nitrite as N,3.9000000000000004,mg/L
LAGUNA BEACH,Total,Nitrate + Nitrite as N,0.26,mg/L
SAN JUAN CAPISTRANO,Total,Nitrate + Nitrite as N,1.9975,mg/L
DANA POINT,Total,Nitrate + Nitrite as N,1.7566666666666666,mg/L
SAN CLEMENTE,Total,Nitrate + Nitrite as N,7.7375,mg/L
MISSION VIEJO,Total,"Nitrogen, Total Kjeldahl",1.4216666666666669,mg/L
LAGUNA WOODS,Total,"Nitrogen, Total Kjeldahl",1.8900000000000001,mg/L
LAGUNA NIGUEL,Total,"Nitrogen, Total Kjeldahl",1.2416666666666667,mg/L
ALISO VIEJO,Total,"Nitrogen, Total Kjeldahl",2.267777777777778,mg/L
RANCHO SANTA MARGARITA,Total,"Nitrogen, Total Kjeldahl",1.5585714285714285,mg/L
ORANGE CO,Total,"Nitrogen, Total Kjeldahl",2.2060714285714287,mg/L
LAGUNA HILLS,Total,"Nitrogen, Total Kjeldahl",0.58,mg/L
LAKE FOREST,Total,"Nitrogen, Total Kjeldahl",0.7775,mg/L
LAGUNA BEACH,Total,"Nitrogen, Total Kjeldahl",0.6525,mg/L
SAN JUAN CAPISTRANO,Total,"Nitrogen, Total Kjeldahl",1.575,mg/L
DANA POINT,Total,"Nitrogen, Total Kjeldahl",1.6991666666666667,mg/L
SAN CLEMENTE,Total,"Nitrogen, Total Kjeldahl",2.475,mg/L
MISSION VIEJO,Total,Orthophosphate as P,0.2558333333333333,mg/L
LAGUNA WOODS,Total,Orthophosphate as P,0.6152500000000001,mg/L
LAGUNA NIGUEL,Total,Orthophosphate as P,0.20249999999999999,mg/L
ALISO VIEJO,Total,Orthophosphate as P,0.2331875,mg/L
RANCHO SANTA MARGARITA,Total,Orthophosphate as P,0.28285714285714286,mg/L
ORANGE CO,Total,Orthophosphate as P,0.2412857142857143,mg/L
LAGUNA HILLS,Total,Orthophosphate as P,0.0455,mg/L
LAKE FOREST,Total,Orthophosphate as P,0.27275,mg/L
LAGUNA BEACH,Total,Orthophosphate as P,0.05675,mg/L
SAN JUAN CAPISTRANO,Total,Orthophosphate as P,0.30624999999999997,mg/L
DANA POINT,Total,Orthophosphate as P,0.2783333333333333,mg/L
SAN CLEMENTE,Total,Orthophosphate as P,0.31375,mg/L
MISSION VIEJO,Total,pH,7.84,NA
LAGUNA WOODS,Total,pH,7.63,NA
LAGUNA NIGUEL,Total,pH,8.1625,NA
ALISO VIEJO,Total,pH,7.781875,NA
RANCHO SANTA MARGARITA,Total,pH,8.115714285714287,NA
ORANGE CO,Total,pH,7.809642857142857,NA
LAGUNA HILLS,Total,pH,7.855,NA
LAKE FOREST,Total,pH,8.092500000000001,NA
LAGUNA BEACH,Total,pH,7.9575,NA
SAN JUAN CAPISTRANO,Total,pH,8.557500000000001,NA
DANA POINT,Total,pH,8.400833333333335,NA
SAN CLEMENTE,Total,pH,7.68,NA
MISSION VIEJO,Total,Phosphorus as PO4,1.1066666666666667,mg/L
LAGUNA WOODS,Total,Phosphorus as PO4,3.9924999999999997,mg/L
LAGUNA NIGUEL,Total,Phosphorus as PO4,0.99875,mg/L
ALISO VIEJO,Total,Phosphorus as PO4,0.984375,mg/L
RANCHO SANTA MARGARITA,Total,Phosphorus as PO4,1.2021428571428572,mg/L
ORANGE CO,Total,Phosphorus as PO4,1.0685714285714285,mg/L
LAGUNA HILLS,Total,Phosphorus as PO4,0.285,mg/L
LAKE FOREST,Total,Phosphorus as PO4,1.0175,mg/L
LAGUNA BEACH,Total,Phosphorus as PO4,0.405,mg/L
SAN JUAN CAPISTRANO,Total,Phosphorus as PO4,1.58375,mg/L
DANA POINT,Total,Phosphorus as PO4,1.3975,mg/L
SAN CLEMENTE,Total,Phosphorus as PO4,0.986,mg/L
MISSION VIEJO,Total,SpecificConductivity,3508.3333333333335,NA
LAGUNA WOODS,Total,SpecificConductivity,3350,NA
LAGUNA NIGUEL,Total,SpecificConductivity,4037.5,NA
ALISO VIEJO,Total,SpecificConductivity,2768.75,NA
RANCHO SANTA MARGARITA,Total,SpecificConductivity,2121.4285714285716,NA
ORANGE CO,Total,SpecificConductivity,3371.4285714285716,NA
LAGUNA HILLS,Total,SpecificConductivity,3550,NA
LAKE FOREST,Total,SpecificConductivity,2950,NA
LAGUNA BEACH,Total,SpecificConductivity,8825,NA
SAN JUAN CAPISTRANO,Total,SpecificConductivity,3762.5,NA
DANA POINT,Total,SpecificConductivity,3791.6666666666665,NA
SAN CLEMENTE,Total,SpecificConductivity,8950,NA
MISSION VIEJO,Total,Sulfate,1015,mg/L
LAGUNA WOODS,Total,Sulfate,750,mg/L
LAGUNA NIGUEL,Total,Sulfate,1061.875,mg/L
ALISO VIEJO,Total,Sulfate,607.5,mg/L
RANCHO SANTA MARGARITA,Total,Sulfate,488.57142857142856,mg/L
ORANGE CO,Total,Sulfate,809.6428571428571,mg/L
LAGUNA HILLS,Total,Sulfate,960,mg/L
LAKE FOREST,Total,Sulfate,702.5,mg/L
LAGUNA BEACH,Total,Sulfate,2072.5,mg/L
SAN JUAN CAPISTRANO,Total,Sulfate,903.75,mg/L
DANA POINT,Total,Sulfate,697.5,mg/L
SAN CLEMENTE,Total,Sulfate,5495,mg/L
MISSION VIEJO,Total,Total Dissolved Solids,2225,mg/L
LAGUNA WOODS,Total,Total Dissolved Solids,1900,mg/L
LAGUNA NIGUEL,Total,Total Dissolved Solids,2506.25,mg/L
ALISO VIEJO,Total,Total Dissolved Solids,1626.875,mg/L
RANCHO SANTA MARGARITA,Total,Total Dissolved Solids,1208.5714285714287,mg/L
ORANGE CO,Total,Total Dissolved Solids,2032.857142857143,mg/L
LAGUNA HILLS,Total,Total Dissolved Solids,2000,mg/L
LAKE FOREST,Total,Total Dissolved Solids,1725,mg/L
LAGUNA BEACH,Total,Total Dissolved Solids,5575,mg/L
SAN JUAN CAPISTRANO,Total,Total Dissolved Solids,2285,mg/L
DANA POINT,Total,Total Dissolved Solids,2190,mg/L
SAN CLEMENTE,Total,Total Dissolved Solids,6925,mg/L
MISSION VIEJO,Total,VSS,3.4678571428571425,mg/L
LAGUNA WOODS,Total,VSS,8.9,mg/L
LAGUNA NIGUEL,Total,VSS,3.9675000000000002,mg/L
ALISO VIEJO,Total,VSS,2.83125,mg/L
RANCHO SANTA MARGARITA,Total,VSS,2.8499999999999996,mg/L
ORANGE CO,Total,VSS,3.5,mg/L
LAGUNA HILLS,Total,VSS,2.8,mg/L
LAKE FOREST,Total,VSS,3.8,mg/L
LAGUNA BEACH,Total,VSS,2.8,mg/L
SAN JUAN CAPISTRANO,Total,VSS,4.24,mg/L
DANA POINT,Total,VSS,3.9428571428571426,mg/L
SAN CLEMENTE,Total,VSS,2.8,mg/L
MISSION VIEJO,Total,TSS,5.416666666666667,mg/L
LAGUNA WOODS,Total,TSS,7.4,mg/L
LAGUNA NIGUEL,Total,TSS,3.9749999999999996,mg/L
ALISO VIEJO,Total,TSS,2.6590909090909087,mg/L
RANCHO SANTA MARGARITA,Total,TSS,2.2045454545454546,mg/L
ORANGE CO,Total,TSS,2.8105263157894735,mg/L
LAGUNA HILLS,Total,TSS,1.0999999999999999,mg/L
LAKE FOREST,Total,TSS,3.633333333333333,mg/L
LAGUNA BEACH,Total,TSS,1.6,mg/L
SAN JUAN CAPISTRANO,Total,TSS,9.8125,mg/L
DANA POINT,Total,TSS,6.45,mg/L
SAN CLEMENTE,Total,TSS,3.6399999999999997,mg/L
MISSION VIEJO,Total,E. coli,1733,CFU/100 mL
LAGUNA WOODS,Total,E. coli,12191.666666666666,CFU/100 mL
LAGUNA NIGUEL,Total,E. coli,1700.2083333333333,CFU/100 mL
ALISO VIEJO,Total,E. coli,4599.333333333333,CFU/100 mL
RANCHO SANTA MARGARITA,Total,E. coli,4563.888888888889,CFU/100 mL
ORANGE CO,Total,E. coli,2611.9444444444443,CFU/100 mL
LAGUNA HILLS,Total,E. coli,575,CFU/100 mL
LAKE FOREST,Total,E. coli,615,CFU/100 mL
LAGUNA BEACH,Total,E. coli,1041.5,CFU/100 mL
SAN JUAN CAPISTRANO,Total,E. coli,1861.142857142857,CFU/100 mL
DANA POINT,Total,E. coli,1842.8,CFU/100 mL
SAN CLEMENTE,Total,E. coli,1366.9,CFU/100 mL
MISSION VIEJO,Total,Enterococcus,7070,CFU/100 mL
LAGUNA WOODS,Total,Enterococcus,24382.5,CFU/100 mL
LAGUNA NIGUEL,Total,Enterococcus,6232.166666666667,CFU/100 mL
ALISO VIEJO,Total,Enterococcus,24558.6875,CFU/100 mL
RANCHO SANTA MARGARITA,Total,Enterococcus,10634.285714285714,CFU/100 mL
ORANGE CO,Total,Enterococcus,5100,CFU/100 mL
LAGUNA HILLS,Total,Enterococcus,1765,CFU/100 mL
LAKE FOREST,Total,Enterococcus,3407.5,CFU/100 mL
LAGUNA BEACH,Total,Enterococcus,350,CFU/100 mL
SAN JUAN CAPISTRANO,Total,Enterococcus,4745.833333333333,CFU/100 mL
DANA POINT,Total,Enterococcus,5738.571428571428,CFU/100 mL
SAN CLEMENTE,Total,Enterococcus,5905,CFU/100 mL
MISSION VIEJO,Total,Fecal coliforms,3426.25,CFU/100 mL
LAGUNA WOODS,Total,Fecal coliforms,32600,CFU/100 mL
LAGUNA NIGUEL,Total,Fecal coliforms,3078.8571428571427,CFU/100 mL
ALISO VIEJO,Total,Fecal coliforms,6673.166666666667,CFU/100 mL
RANCHO SANTA MARGARITA,Total,Fecal coliforms,9010.90909090909,CFU/100 mL
ORANGE CO,Total,Fecal coliforms,5761.1578947368425,CFU/100 mL
LAGUNA HILLS,Total,Fecal coliforms,1800,CFU/100 mL
LAKE FOREST,Total,Fecal coliforms,1375,CFU/100 mL
LAGUNA BEACH,Total,Fecal coliforms,2050,CFU/100 mL
SAN JUAN CAPISTRANO,Total,Fecal coliforms,4098.571428571428,CFU/100 mL
DANA POINT,Total,Fecal coliforms,3127.8571428571427,CFU/100 mL
SAN CLEMENTE,Total,Fecal coliforms,6134.833333333333,CFU/100 mL
MISSION VIEJO,Total,Total Coliforms,25628.571428571428,CFU/100 mL
LAGUNA WOODS,Total,Total Coliforms,699150,CFU/100 mL
LAGUNA NIGUEL,Total,Total Coliforms,59328.333333333336,CFU/100 mL
ALISO VIEJO,Total,Total Coliforms,176626.25,CFU/100 mL
RANCHO SANTA MARGARITA,Total,Total Coliforms,145643.75,CFU/100 mL
ORANGE CO,Total,Total Coliforms,73043.94736842105,CFU/100 mL
LAGUNA HILLS,Total,Total Coliforms,25300,CFU/100 mL
LAKE FOREST,Total,Total Coliforms,24533.333333333332,CFU/100 mL
LAGUNA BEACH,Total,Total Coliforms,6392.5,CFU/100 mL
SAN JUAN CAPISTRANO,Total,Total Coliforms,91085.71428571429,CFU/100 mL
DANA POINT,Total,Total Coliforms,25328.571428571428,CFU/100 mL
SAN CLEMENTE,Total,Total Coliforms,26198,CFU/100 mL
LAGUNA BEACH,NA,NA,NA,NA
LAGUNA NIGUEL,NA,NA,NA,NA
ORANGE CO,NA,NA,NA,NA
DANA POINT,NA,NA,NA,NA
ALISO VIEJO,NA,NA,NA,NA
LAGUNA WOODS,NA,NA,NA,NA
IRVINE,NA,NA,NA,NA
NEWPORT BEACH,NA,NA,NA,NA
LAKE FOREST,NA,NA,NA,NA
MISSION VIEJO,NA,NA,NA,NA
RANCHO SANTA MARGARITA,NA,NA,NA,NA
LAGUNA HILLS,NA,NA,NA,NA
SAN JUAN CAPISTRANO,NA,NA,NA,NA
SAN CLEMENTE,NA,NA,NA,NA
